player_name,stat_type,line,predicted_value,confidence_score,volatility_score,recommendation,bbref_id,timestamp,line_diff,abs_diff,trap_type,trap_probability,detection_method,line_intent,action_required,reason,extracted_date,cycle_phase,cycle_risk_tag,perf_trend,corrected_risk_tag,adv_phase,adv_risk_tag,adv_modifier,adv_confidence,adjusted_prediction,actual_result
Brittney Sykes,Rebounds,4.5,4.4,0.0,0.5,EXCELLENT,sykesbr01w,2025-06-17T11:02:52.613190,0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,NEUTRAL,0.95,0.5,4.2,2.7
Angel Reese,Points,10.5,10.4,0.0,0.5,EXCELLENT,reesean01w,2025-06-17T11:02:52.635845,0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,10.6,9.9
Sabrina Ionescu,Rebounds,3.5,3.6,0.0,0.5,EXCELLENT,ionessa01w,2025-06-17T11:02:51.941263,-0.1,0.1,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,TARGET_LATE_FOLLICULAR,1.02,0.65,3.7,2.2
Napheesa Collier,Assists,4.0,3.9,0.0,0.5,EXCELLENT,collina01w,2025-06-17T11:02:52.083543,0.1,0.1,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,NEUTRAL,0.95,0.5,3.7,8.3
Napheesa Collier,3-PT Made,1.5,1.6,0.0,0.5,EXCELLENT,collina01w,2025-06-17T11:02:52.085594,-0.1,0.1,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,NEUTRAL,0.95,0.5,1.5,1.5
Jewell Loyd,3-PT Made,2.5,2.4,0.0,0.5,EXCELLENT,loyddje01w,2025-06-17T11:02:52.161395,0.1,0.1,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,TARGET_LATE_FOLLICULAR,1.02,0.65,2.4,0.0
Chelsea Gray,Assists,3.5,3.4,0.0,0.5,EXCELLENT,grayych01w,2025-06-17T11:02:52.216256,0.1,0.1,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,FADE_EARLY_MENSTRUAL,0.95,0.6,3.2,5.3
Jackie Young,Rebounds,4.0,3.9,0.0,0.5,EXCELLENT,youngja01w,2025-06-17T11:02:52.243893,0.1,0.1,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,4.1,1.0
Alanna Smith,3-PT Made,1.5,1.6,0.0,0.5,EXCELLENT,smithal01w,2025-06-17T11:02:52.365584,-0.1,0.1,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,luteal,FADE_LUTEAL,1.0,TARGET_LUTEAL,luteal,TARGET_LUTEAL,1.05,0.65,1.7,2.2
Arike Ogunbowale,3-PT Made,2.5,2.4,0.0,0.5,EXCELLENT,ogunbar01w,2025-06-17T11:02:52.390642,0.1,0.1,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.016,0.5,2.4,0.0
Kayla Thornton,3-PT Made,1.5,1.6,0.0,0.5,EXCELLENT,thornka01w,2025-06-17T11:02:52.513650,-0.1,0.1,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,1.6,0.0
Ariel Atkins,Rebounds,3.5,3.6,0.0,0.5,EXCELLENT,atkinar01w,2025-06-17T11:02:52.734674,-0.1,0.1,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,3.8,4.3
Marina Mabrey,Points,17.5,17.6,0.0,0.5,EXCELLENT,mabrema01w,2025-06-17T11:02:51.412854,-0.1000000000000014,0.1000000000000014,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,18.5,20.3
Marina Mabrey,Pts+Asts,21.5,21.4,0.0,0.5,EXCELLENT,mabrema01w,2025-06-17T11:02:51.453430,0.1000000000000014,0.1000000000000014,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,22.5,22.9
Aliyah Boston,Pts+Rebs+Asts,25.5,25.6,0.0,0.5,EXCELLENT,bostoal01w,2025-06-17T11:02:51.600096,-0.1000000000000014,0.1000000000000014,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,26.9,26.6
Sabrina Ionescu,Pts+Rebs,23.0,23.1,0.0,0.5,EXCELLENT,ionessa01w,2025-06-17T11:02:51.919154,-0.1000000000000014,0.1000000000000014,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,TARGET_LATE_FOLLICULAR,1.02,0.65,23.6,22.8
Chelsea Gray,Pts+Rebs+Asts,22.5,22.6,0.0,0.5,EXCELLENT,grayych01w,2025-06-17T11:02:52.228251,-0.1000000000000014,0.1000000000000014,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,FADE_EARLY_MENSTRUAL,0.95,0.6,21.5,17.8
Kayla Thornton,Pts+Rebs+Asts,23.0,22.9,0.0,0.5,EXCELLENT,thornka01w,2025-06-17T11:02:52.529725,0.1000000000000014,0.1000000000000014,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,23.4,21.6
Brittney Sykes,Pts+Asts,24.0,23.9,0.0,0.5,EXCELLENT,sykesbr01w,2025-06-17T11:02:52.590612,0.1000000000000014,0.1000000000000014,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,NEUTRAL,0.95,0.5,22.7,21.5
Ariel Atkins,Pts+Rebs+Asts,19.5,19.6,0.0,0.5,EXCELLENT,atkinar01w,2025-06-17T11:02:52.738533,-0.1000000000000014,0.1000000000000014,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,20.6,23.2
Ezi Magbegor,Pts+Rebs+Asts,18.5,18.4,0.0,0.5,EXCELLENT,magbeez01w,2025-06-17T11:02:52.886447,0.1000000000000014,0.1000000000000014,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.085,0.65,20.0,20.9
Dearica Hamby,Points,17.5,17.6,0.0,0.5,EXCELLENT,hambyde01w,2025-06-17T11:02:52.954325,-0.1000000000000014,0.1000000000000014,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,18.0,13.6
Nneka Ogwumike,Pts+Rebs,24.5,24.6,0.0,0.5,EXCELLENT,ogwumnn01w,2025-06-17T11:02:53.004925,-0.1000000000000014,0.1000000000000014,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,STRONG_TARGET_LUTEAL,1.05,0.75,25.8,26.6
Kelsey Mitchell,Points,17.0,17.2,0.0,0.5,EXCELLENT,mitchke01w,2025-06-17T11:02:51.541535,-0.1999999999999993,0.1999999999999993,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,STRONG_TARGET_LUTEAL,1.05,0.75,18.1,17.1
Sabrina Ionescu,Pts+Rebs+Asts,28.0,28.2,0.0,0.5,EXCELLENT,ionessa01w,2025-06-17T11:02:51.884402,-0.1999999999999993,0.1999999999999993,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,TARGET_LATE_FOLLICULAR,1.02,0.65,28.8,27.1
Napheesa Collier,Rebounds,9.0,8.8,0.0,0.5,EXCELLENT,collina01w,2025-06-17T11:02:52.061662,0.1999999999999993,0.1999999999999993,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,NEUTRAL,0.95,0.5,8.4,9.9
Alanna Smith,Points,10.0,10.2,0.0,0.5,EXCELLENT,smithal01w,2025-06-17T11:02:52.361384,-0.1999999999999993,0.1999999999999993,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,luteal,FADE_LUTEAL,1.0,TARGET_LUTEAL,luteal,TARGET_LUTEAL,1.05,0.65,10.7,13.3
Brittney Sykes,Pts+Rebs+Asts,28.5,28.3,0.0,0.5,EXCELLENT,sykesbr01w,2025-06-17T11:02:52.604271,0.1999999999999993,0.1999999999999993,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,NEUTRAL,0.95,0.5,26.9,29.2
Kamilla Cardoso,Pts+Rebs,17.5,17.7,0.0,0.5,EXCELLENT,cardoka01w,2025-06-17T11:02:52.768269,-0.1999999999999993,0.1999999999999993,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,STRONG_TARGET_LUTEAL,1.05,0.75,18.6,16.5
Azura Stevens,Rebounds,9.5,9.3,0.0,0.5,EXCELLENT,steveaz01w,2025-06-17T11:02:52.914167,0.1999999999999993,0.1999999999999993,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,FADE_EARLY_MENSTRUAL,0.95,0.6,8.8,8.0
Dearica Hamby,Pts+Rebs,25.0,25.2,0.0,0.5,EXCELLENT,hambyde01w,2025-06-17T11:02:52.938017,-0.1999999999999993,0.1999999999999993,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,25.7,26.5
Kelsey Mitchell,3-PT Made,1.5,1.7,0.0,0.5,EXCELLENT,mitchke01w,2025-06-17T11:02:51.554904,-0.1999999999999999,0.1999999999999999,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,STRONG_TARGET_LUTEAL,1.05,0.75,1.8,4.2
Sonia Citron,3-PT Made,1.5,1.3,0.0,0.5,EXCELLENT,citroso01w,2025-06-17T11:02:52.816761,0.1999999999999999,0.1999999999999999,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.033,0.5,1.3,0.1
Azura Stevens,3-PT Made,1.5,1.3,0.0,0.5,EXCELLENT,steveaz01w,2025-06-17T11:02:52.921862,0.1999999999999999,0.1999999999999999,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,FADE_EARLY_MENSTRUAL,0.95,0.6,1.2,0.7
Caitlin Clark,3-PT Made,3.5,3.3,0.0,0.5,EXCELLENT,clarkca01w,2025-06-17T11:02:51.491754,0.2000000000000001,0.2000000000000001,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,NEUTRAL,0.95,0.5,3.1,0.3
Rhyne Howard,3-PT Made,3.5,3.3,0.0,0.5,EXCELLENT,howarrh01w,2025-06-17T11:02:51.685918,0.2000000000000001,0.2000000000000001,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,3.5,0.5
Allisha Gray,Rebounds,5.0,5.2,0.0,0.5,EXCELLENT,grayyal01w,2025-06-17T11:02:51.750572,-0.2000000000000001,0.2000000000000001,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,FADE_EARLY_MENSTRUAL,0.95,0.6,4.9,6.9
Jewell Loyd,Rebs+Asts,6.5,6.3,0.0,0.5,EXCELLENT,loyddje01w,2025-06-17T11:02:52.139515,0.2000000000000001,0.2000000000000001,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,TARGET_LATE_FOLLICULAR,1.02,0.65,6.4,9.8
Jewell Loyd,Rebounds,4.0,4.2,0.0,0.5,EXCELLENT,loyddje01w,2025-06-17T11:02:52.189349,-0.2000000000000001,0.2000000000000001,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,TARGET_LATE_FOLLICULAR,1.02,0.65,4.3,4.1
Alanna Smith,Rebounds,4.5,4.3,0.0,0.5,EXCELLENT,smithal01w,2025-06-17T11:02:52.379639,0.2000000000000001,0.2000000000000001,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,luteal,FADE_LUTEAL,1.0,TARGET_LUTEAL,luteal,TARGET_LUTEAL,1.05,0.65,4.5,7.0
Kamilla Cardoso,Rebounds,7.0,6.8,0.0,0.5,EXCELLENT,cardoka01w,2025-06-17T11:02:52.763540,0.2000000000000001,0.2000000000000001,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,STRONG_TARGET_LUTEAL,1.05,0.75,7.1,8.0
Gabby Williams,3-PT Made,2.5,2.3,0.0,0.5,EXCELLENT,williga01w,2025-06-17T11:02:52.841915,0.2000000000000001,0.2000000000000001,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,TARGET_LATE_FOLLICULAR,1.02,0.65,2.3,0.7
Gabby Williams,Assists,4.5,4.3,0.0,0.5,EXCELLENT,williga01w,2025-06-17T11:02:52.860467,0.2000000000000001,0.2000000000000001,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,TARGET_LATE_FOLLICULAR,1.02,0.65,4.4,5.3
Gabby Williams,Rebounds,4.5,4.3,0.0,0.5,EXCELLENT,williga01w,2025-06-17T11:02:52.874463,0.2000000000000001,0.2000000000000001,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,TARGET_LATE_FOLLICULAR,1.02,0.65,4.4,8.2
Dearica Hamby,Assists,4.5,4.3,0.0,0.5,EXCELLENT,hambyde01w,2025-06-17T11:02:52.942217,0.2000000000000001,0.2000000000000001,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,4.4,4.3
Skylar Diggins,Assists,6.5,6.3,0.0,0.5,EXCELLENT,diggisk01w,2025-06-17T11:02:52.997916,0.2000000000000001,0.2000000000000001,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,6.6,10.5
Paige Bueckers,3-PT Made,1.5,1.25,0.0,0.5,EXCELLENT,bueckpa01w,2025-06-17T11:02:52.463265,0.25,0.25,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,1.3,0.0
Marina Mabrey,Rebounds,5.5,5.2,0.0,0.5,EXCELLENT,mabrema01w,2025-06-17T11:02:51.410677,0.2999999999999998,0.2999999999999998,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,5.5,7.6
Allisha Gray,3-PT Made,2.5,2.2,0.0,0.5,EXCELLENT,grayyal01w,2025-06-17T11:02:51.748653,0.2999999999999998,0.2999999999999998,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,FADE_EARLY_MENSTRUAL,0.95,0.6,2.1,2.3
