player_name,stat_type,line,adjusted_prediction,actual_result,kelly_fraction,kelly_used,bet_percentage,adv_phase,adv_risk_tag,game_date,raw_kelly
Jewell Loyd,threes,3.5,4.0,5.8,0.25,0.0598,0.0598,follicular,high_confidence,2025-05-19,0.25
Napheesa Collier,assists,3.9,4.0,4.8,0.0514,0.0096,0.0096,luteal,phase_aligned,2025-05-20,0.0514
Kelsey Plum,pts+rebs+asts,38.8,40.6,39.0,0.1421,0.025,0.025,luteal,phase_aligned,2025-05-21,0.1421
Diana Taurasi,rebounds,11.4,10.9,12.8,0.0,0.0,0.0,ovulatory,phase_aligned,2025-05-22,0.0
Diana Taurasi,pts+rebs+asts,30.6,29.6,30.2,0.0,0.0,0.0,follicular,phase_aligned,2025-05-23,0.0
Alyssa Thomas,points,16.5,18.9,18.8,0.25,0.0438,0.0438,ovulatory,phase_aligned,2025-05-24,0.25
Diana Taurasi,pts+rebs+asts,21.7,22.6,19.2,0.1157,0.0288,0.0288,menstrual,moderate,2025-05-25,0.1157
Sabrina Ionescu,points,14.8,9.0,15.5,0.0,0.0,0.0,menstrual,low_confidence,2025-05-26,0.0
Kelsey Plum,assists,6.3,5.4,7.7,0.0,0.0,0.0,luteal,phase_aligned,2025-05-27,0.0
Alyssa Thomas,assists,5.2,3.7,,0.0,0.0,0.0,follicular,high_confidence,2025-05-28,0.0
Napheesa Collier,threes,3.0,1.9,4.0,0.0,0.0,0.0,menstrual,low_confidence,2025-05-29,0.0
Sabrina Ionescu,threes,4.5,5.0,2.9,0.25,0.0486,0.0486,menstrual,moderate,2025-05-30,0.25
Kelsey Plum,points,17.1,19.4,18.4,0.25,0.0426,0.0426,ovulatory,low_confidence,2025-05-31,0.25
Arike Ogunbowale,rebounds,8.9,7.1,11.3,0.0,0.0,0.0,follicular,high_confidence,2025-06-01,0.0
Alyssa Thomas,threes,2.2,2.2,1.0,0.0238,0.0046,0.0046,menstrual,moderate,2025-06-02,0.0238
Diana Taurasi,pts+rebs+asts,36.0,40.0,41.7,0.25,0.0447,0.0447,menstrual,low_confidence,2025-06-03,0.25
Alyssa Thomas,points,14.5,20.5,14.4,0.25,0.0613,0.0613,luteal,phase_aligned,2025-06-04,0.25
Napheesa Collier,threes,3.1,2.5,4.1,0.0,0.0,0.0,menstrual,moderate,2025-06-05,0.0
Alyssa Thomas,pts+rebs+asts,22.7,24.0,22.6,0.1893,0.0389,0.0389,ovulatory,low_confidence,2025-06-06,0.1893
Breanna Stewart,threes,1.7,1.3,,0.0,0.0,0.0,follicular,moderate,2025-06-07,0.0
Breanna Stewart,points,19.1,16.7,18.3,0.0,0.0,0.0,follicular,high_confidence,2025-06-08,0.0
Diana Taurasi,threes,4.0,3.8,4.9,0.0,0.0,0.0,menstrual,moderate,2025-06-09,0.0
Alyssa Thomas,threes,1.5,0.9,1.3,0.0,0.0,0.0,ovulatory,moderate,2025-06-10,0.0
Jewell Loyd,pts+rebs+asts,23.5,21.9,28.3,0.0,0.0,0.0,follicular,low_confidence,2025-06-11,0.0
Breanna Stewart,rebounds,11.6,11.1,14.6,0.0,0.0,0.0,luteal,phase_aligned,2025-06-12,0.0
Napheesa Collier,rebounds,4.2,4.2,5.8,0.0,0.0,0.0,ovulatory,low_confidence,2025-06-13,0.0
Napheesa Collier,points,19.3,19.7,22.6,0.0271,0.0057,0.0057,follicular,phase_aligned,2025-06-14,0.0271
Breanna Stewart,assists,4.0,4.0,3.4,0.0198,0.0043,0.0043,ovulatory,moderate,2025-06-15,0.0198
Breanna Stewart,rebounds,6.1,6.4,10.7,0.1605,0.0342,0.0342,luteal,phase_aligned,2025-06-16,0.1605
