player_name,total_games,season_days,overall_score,metric,classification,pattern_score,dip_count,avg_drop_pct,mean_interval,interval_std,recent_dips
Rae Burrell,38,367,0.484,PTS,Strong Cycle Pattern,0.651,6,93.7,23.2,8.8,"2024-07-13, 2024-08-20, 2024-09-08"
Rae Burrell,38,367,0.484,REB,Weak Cycle Pattern,0.317,3,74.6,8.0,4.0,"2024-08-25, 2024-09-06, 2024-09-10"
Rae Burrell,38,367,0.484,AST,Insufficient Data,0.0,2,0.0,0.0,0.0,
Victoria Vivians,35,128,0.483,PTS,Weak Cycle Pattern,0.549,6,93.9,18.8,13.9,"2024-06-29, 2024-07-05, 2024-08-16"
Victoria Vivians,35,128,0.483,REB,Weak Cycle Pattern,0.417,4,72.8,10.0,7.9,"2024-06-07, 2024-06-13, 2024-06-16"
Victoria Vivians,35,128,0.483,AST,Insufficient Data,0.0,2,0.0,0.0,0.0,
Diamond DeShields,32,116,0.458,PTS,Weak Cycle Pattern,0.575,3,90.9,16.5,9.5,"2024-05-25, 2024-06-20, 2024-06-27"
Diamond DeShields,32,116,0.458,REB,No Clear Pattern,0.27,3,100.0,4.0,2.0,"2024-06-08, 2024-06-14, 2024-06-16"
Diamond DeShields,32,116,0.458,AST,Weak Cycle Pattern,0.53,7,94.9,18.2,11.7,"2024-08-17, 2024-08-28, 2024-09-01"
DiDi Richards,20,61,0.452,PTS,Weak Cycle Pattern,0.452,5,100.0,14.2,9.6,"2024-06-14, 2024-07-02, 2024-07-10"
DiDi Richards,20,61,0.452,REB,Insufficient Data,0.0,2,0.0,0.0,0.0,
DiDi Richards,20,61,0.452,AST,Insufficient Data,0.0,1,0.0,0.0,0.0,
Aari McDonald,29,391,0.445,PTS,Weak Cycle Pattern,0.599,5,90.5,27.2,20.2,"2024-06-22, 2024-07-07, 2024-09-01"
Aari McDonald,29,391,0.445,REB,Moderate Cycle Pattern,0.51,3,87.0,32.5,14.5,"2024-06-28, 2024-07-16, 2024-09-01"
Aari McDonald,29,391,0.445,AST,Irregular Pattern,0.225,3,91.7,51.5,48.5,"2024-05-24, 2024-09-01, 2024-09-04"
Diamond Miller,30,396,0.44,PTS,Insufficient Data,0.0,2,0.0,0.0,0.0,
Diamond Miller,30,396,0.44,REB,Weak Cycle Pattern,0.44,4,100.0,31.0,41.7,"2024-08-21, 2024-08-23, 2024-08-24"
Diamond Miller,30,396,0.44,AST,Insufficient Data,0.0,0,0.0,0.0,0.0,
Kate Martin,43,393,0.437,PTS,Irregular Pattern,0.168,3,80.8,194.0,191.0,"2024-05-18, 2024-05-21, 2025-06-10"
Kate Martin,43,393,0.437,REB,Irregular Pattern,0.204,6,86.6,77.0,110.0,"2024-07-10, 2024-08-18, 2025-06-10"
Kate Martin,43,393,0.437,AST,Strong Cycle Pattern,0.94,4,100.0,29.3,4.5,"2024-06-13, 2024-07-16, 2024-08-17"
Mikiah Herbert Harrigan,31,128,0.436,PTS,Weak Cycle Pattern,0.382,3,100.0,38.5,35.5,"2024-06-28, 2024-07-01, 2024-09-13"
Mikiah Herbert Harrigan,31,128,0.436,REB,Weak Cycle Pattern,0.49,5,100.0,28.2,30.7,"2024-08-18, 2024-08-28, 2024-09-13"
Mikiah Herbert Harrigan,31,128,0.436,AST,Insufficient Data,0.0,0,0.0,0.0,0.0,
Ivana Dojkić,26,126,0.432,PTS,Weak Cycle Pattern,0.497,3,87.2,12.5,10.5,"2024-05-14, 2024-06-06, 2024-06-08"
Ivana Dojkić,26,126,0.432,REB,Weak Cycle Pattern,0.367,3,100.0,39.5,37.5,"2024-06-06, 2024-08-22, 2024-08-24"
Ivana Dojkić,26,126,0.432,AST,Insufficient Data,0.0,1,0.0,0.0,0.0,
Kristy Wallace,26,128,0.43,PTS,Moderate Cycle Pattern,0.408,4,89.7,12.3,3.4,"2024-06-16, 2024-06-27, 2024-07-06"
Kristy Wallace,26,128,0.43,REB,Weak Cycle Pattern,0.438,6,87.2,18.8,10.5,"2024-06-21, 2024-07-10, 2024-08-18"
Kristy Wallace,26,128,0.43,AST,Weak Cycle Pattern,0.444,5,81.8,14.2,10.6,"2024-05-30, 2024-06-30, 2024-07-10"
NaLyssa Smith,52,396,0.418,PTS,Weak Cycle Pattern,0.389,12,72.3,35.2,70.8,"2025-05-27, 2025-05-30, 2025-06-07"
NaLyssa Smith,52,396,0.418,REB,Irregular Pattern,0.267,9,62.1,47.4,81.1,"2024-09-08, 2025-05-24, 2025-05-30"
NaLyssa Smith,52,396,0.418,AST,Weak Cycle Pattern,0.598,5,100.0,28.2,22.8,"2024-07-06, 2024-07-12, 2024-09-15"
Crystal Dangerfield,33,127,0.417,PTS,Insufficient Data,0.0,1,0.0,0.0,0.0,
Crystal Dangerfield,33,127,0.417,REB,Weak Cycle Pattern,0.46,4,100.0,30.3,35.2,"2024-06-06, 2024-08-25, 2024-08-28"
Crystal Dangerfield,33,127,0.417,AST,Weak Cycle Pattern,0.374,6,92.4,19.0,24.0,"2024-06-23, 2024-08-28, 2024-09-01"
Tyasha Harris,44,378,0.41,PTS,Irregular Pattern,0.272,9,61.4,46.9,81.8,"2024-09-03, 2025-05-20, 2025-05-27"
Tyasha Harris,44,378,0.41,REB,Weak Cycle Pattern,0.564,5,100.0,26.5,26.8,"2024-06-10, 2024-06-18, 2024-08-28"
Tyasha Harris,44,378,0.41,AST,Weak Cycle Pattern,0.394,6,67.2,18.0,15.3,"2024-07-07, 2024-08-24, 2024-09-06"
Megan Gustafson,38,128,0.399,PTS,Weak Cycle Pattern,0.475,5,100.0,28.8,34.9,"2024-06-09, 2024-09-06, 2024-09-17"
Megan Gustafson,38,128,0.399,REB,Weak Cycle Pattern,0.324,4,91.7,8.3,4.0,"2024-05-31, 2024-06-05, 2024-06-19"
Megan Gustafson,38,128,0.399,AST,Insufficient Data,0.0,0,0.0,0.0,0.0,
Kamilla Cardoso,42,379,0.398,PTS,Weak Cycle Pattern,0.571,5,67.7,25.8,21.6,"2024-06-30, 2024-08-30, 2024-09-15"
Kamilla Cardoso,42,379,0.398,REB,Weak Cycle Pattern,0.367,10,38.7,37.6,75.7,"2024-09-15, 2025-05-23, 2025-06-08"
Kamilla Cardoso,42,379,0.398,AST,Irregular Pattern,0.255,8,96.0,49.0,82.5,"2024-09-15, 2025-05-23, 2025-06-08"
Allisha Gray,51,396,0.376,PTS,Weak Cycle Pattern,0.31,10,42.1,43.0,77.8,"2024-09-03, 2024-09-19, 2025-06-06"
Allisha Gray,51,396,0.376,REB,Moderate Cycle Pattern,0.621,3,61.0,39.5,11.5,"2024-06-16, 2024-07-14, 2024-09-03"
Allisha Gray,51,396,0.376,AST,Irregular Pattern,0.197,8,85.8,54.4,84.2,"2024-08-28, 2024-09-17, 2025-05-31"
Azurá Stevens,20,74,0.374,PTS,Weak Cycle Pattern,0.31,7,59.2,12.0,11.9,"2024-09-01, 2024-09-08, 2024-09-17"
Azurá Stevens,20,74,0.374,REB,Weak Cycle Pattern,0.402,4,48.6,18.7,15.9,"2024-07-09, 2024-08-18, 2024-09-01"
Azurá Stevens,20,74,0.374,AST,Weak Cycle Pattern,0.408,4,83.4,11.7,13.0,"2024-08-15, 2024-08-18, 2024-08-20"
Dearica Hamby,52,395,0.357,PTS,Weak Cycle Pattern,0.37,10,43.8,40.9,76.7,"2024-09-11, 2025-05-25, 2025-06-14"
Dearica Hamby,52,395,0.357,REB,Weak Cycle Pattern,0.391,12,42.0,35.0,70.2,"2025-05-24, 2025-05-25, 2025-06-07"
Dearica Hamby,52,395,0.357,AST,Weak Cycle Pattern,0.309,9,69.2,48.1,73.9,"2024-09-17, 2025-05-17, 2025-06-07"
Tiffany Mitchell,34,397,0.351,PTS,Weak Cycle Pattern,0.351,3,89.4,182.5,147.5,"2024-05-17, 2024-06-21, 2025-05-17"
Tiffany Mitchell,34,397,0.351,REB,Insufficient Data,0.0,2,0.0,0.0,0.0,
Tiffany Mitchell,34,397,0.351,AST,Insufficient Data,0.0,1,0.0,0.0,0.0,
DiJonai Carrington,51,396,0.348,PTS,Irregular Pattern,0.283,10,56.7,42.3,74.6,"2025-05-20, 2025-05-24, 2025-06-08"
DiJonai Carrington,51,396,0.348,REB,Weak Cycle Pattern,0.586,5,58.5,27.0,22.5,"2024-06-15, 2024-08-18, 2024-09-08"
DiJonai Carrington,51,396,0.348,AST,Irregular Pattern,0.175,8,95.1,52.0,83.7,"2024-09-10, 2025-05-20, 2025-05-22"
Brionna Jones,51,397,0.342,PTS,Weak Cycle Pattern,0.347,12,43.7,36.1,72.9,"2024-09-19, 2025-06-06, 2025-06-15"
Brionna Jones,51,397,0.342,REB,Irregular Pattern,0.298,8,50.4,54.1,81.4,"2024-08-28, 2024-09-19, 2025-05-28"
Brionna Jones,51,397,0.342,AST,Weak Cycle Pattern,0.38,9,94.8,48.6,80.7,"2024-09-19, 2025-06-06, 2025-06-10"
Naz Hillmon,51,396,0.341,PTS,Irregular Pattern,0.166,8,75.5,56.3,102.6,"2025-05-16, 2025-06-10, 2025-06-13"
Naz Hillmon,51,396,0.341,REB,Weak Cycle Pattern,0.35,8,75.2,54.3,76.1,"2024-09-19, 2025-05-16, 2025-06-13"
Naz Hillmon,51,396,0.341,AST,Weak Cycle Pattern,0.507,6,92.4,20.8,15.2,"2024-08-16, 2024-08-23, 2024-08-30"
Caitlin Clark,45,396,0.339,PTS,Weak Cycle Pattern,0.407,8,44.4,18.0,23.4,"2024-09-11, 2024-09-13, 2024-09-19"
Caitlin Clark,45,396,0.339,REB,Weak Cycle Pattern,0.394,9,58.0,15.5,15.4,"2024-09-01, 2024-09-11, 2024-09-15"
Caitlin Clark,45,396,0.339,AST,Irregular Pattern,0.217,6,41.4,74.6,90.8,"2024-07-14, 2024-09-11, 2025-05-22"
Li Yueru,47,389,0.33,PTS,Weak Cycle Pattern,0.423,4,100.0,37.3,24.6,"2024-05-18, 2024-07-07, 2024-09-04"
Li Yueru,47,389,0.33,REB,Irregular Pattern,0.238,5,77.0,95.5,110.9,"2024-07-07, 2024-08-18, 2025-06-01"
Li Yueru,47,389,0.33,AST,Insufficient Data,0.0,2,0.0,0.0,0.0,
Bridget Carleton,50,396,0.328,PTS,Weak Cycle Pattern,0.46,12,59.0,34.5,67.3,"2024-09-13, 2025-05-16, 2025-05-28"
Bridget Carleton,50,396,0.328,REB,Weak Cycle Pattern,0.332,9,62.7,49.2,80.6,"2024-09-15, 2025-06-02, 2025-06-12"
Bridget Carleton,50,396,0.328,AST,Irregular Pattern,0.191,7,78.9,63.2,92.5,"2024-09-10, 2024-09-19, 2025-06-12"
Maddy Siegrist,38,393,0.327,PTS,Irregular Pattern,0.176,8,59.0,55.7,92.8,"2025-05-30, 2025-06-07, 2025-06-12"
Maddy Siegrist,38,393,0.327,REB,Irregular Pattern,0.215,6,82.7,77.0,96.2,"2024-09-06, 2024-09-15, 2025-06-07"
Maddy Siegrist,38,393,0.327,AST,Weak Cycle Pattern,0.589,4,100.0,31.3,25.4,"2024-06-09, 2024-06-15, 2024-08-20"
Napheesa Collier,44,396,0.325,PTS,Irregular Pattern,0.184,8,33.3,55.1,90.3,"2024-08-28, 2025-05-28, 2025-06-04"
Napheesa Collier,44,396,0.325,REB,Irregular Pattern,0.245,9,34.9,49.1,85.2,"2024-08-17, 2025-05-16, 2025-06-14"
Napheesa Collier,44,396,0.325,AST,Weak Cycle Pattern,0.544,6,72.7,23.4,15.9,"2024-07-04, 2024-08-24, 2024-09-08"
Breanna Stewart,48,396,0.323,PTS,Irregular Pattern,0.194,7,40.0,63.5,89.0,"2024-09-05, 2024-09-12, 2025-05-30"
Breanna Stewart,48,396,0.323,REB,Weak Cycle Pattern,0.532,6,51.8,23.0,17.0,"2024-06-22, 2024-08-15, 2024-09-10"
Breanna Stewart,48,396,0.323,AST,Irregular Pattern,0.243,7,66.8,59.2,90.0,"2024-08-28, 2024-09-19, 2025-06-05"
Stefanie Dolson,50,397,0.322,PTS,Irregular Pattern,0.194,7,68.4,63.3,89.2,"2024-08-23, 2024-09-15, 2025-06-03"
Stefanie Dolson,50,397,0.322,REB,Weak Cycle Pattern,0.427,13,70.5,31.7,65.0,"2024-09-17, 2025-05-18, 2025-06-05"
Stefanie Dolson,50,397,0.322,AST,Weak Cycle Pattern,0.345,9,73.0,48.5,74.8,"2024-09-17, 2025-05-18, 2025-06-15"
Nia Coffey,51,396,0.321,PTS,Irregular Pattern,0.267,9,100.0,47.2,82.4,"2024-08-21, 2024-09-10, 2025-05-31"
Nia Coffey,51,396,0.321,REB,Weak Cycle Pattern,0.497,3,74.1,29.0,26.0,"2024-07-10, 2024-09-03, 2024-09-06"
Nia Coffey,51,396,0.321,AST,Irregular Pattern,0.198,8,95.1,54.0,87.8,"2024-09-15, 2025-06-06, 2025-06-15"
Natisha Hiedeman,51,396,0.32,PTS,Weak Cycle Pattern,0.49,6,94.4,22.2,24.2,"2024-07-06, 2024-09-10, 2024-09-17"
Natisha Hiedeman,51,396,0.32,REB,Irregular Pattern,0.191,8,94.3,54.4,91.5,"2024-08-30, 2024-09-01, 2025-06-02"
Natisha Hiedeman,51,396,0.32,AST,Irregular Pattern,0.279,9,88.8,46.2,80.5,"2024-08-24, 2024-09-13, 2025-05-28"
Jackie Young,47,397,0.315,PTS,Weak Cycle Pattern,0.359,10,59.3,41.6,80.9,"2024-09-06, 2025-06-01, 2025-06-07"
Jackie Young,47,397,0.315,REB,Weak Cycle Pattern,0.369,11,60.1,37.1,74.9,"2024-09-08, 2025-05-25, 2025-05-31"
Jackie Young,47,397,0.315,AST,Irregular Pattern,0.218,9,55.8,47.9,83.7,"2024-08-25, 2025-05-20, 2025-06-01"
Sabrina Ionescu,48,396,0.314,PTS,Weak Cycle Pattern,0.388,9,41.3,15.8,17.3,"2024-09-15, 2024-09-17, 2024-09-19"
Sabrina Ionescu,48,396,0.314,REB,Irregular Pattern,0.253,7,62.2,64.8,87.3,"2024-09-19, 2025-06-01, 2025-06-11"
Sabrina Ionescu,48,396,0.314,AST,Weak Cycle Pattern,0.301,10,43.8,43.8,79.7,"2025-05-17, 2025-05-24, 2025-06-14"
Rebecca Allen,28,397,0.311,PTS,Irregular Pattern,0.163,4,80.9,129.7,135.6,"2024-07-12, 2025-05-28, 2025-06-11"
Rebecca Allen,28,397,0.311,REB,Irregular Pattern,0.261,4,54.7,120.0,146.6,"2024-07-10, 2024-07-16, 2025-06-08"
Rebecca Allen,28,397,0.311,AST,Weak Cycle Pattern,0.51,3,100.0,13.0,10.0,"2024-06-07, 2024-06-30, 2024-07-03"
Rachel Banham,47,397,0.311,PTS,Weak Cycle Pattern,0.379,4,95.4,124.3,139.8,"2024-06-08, 2024-07-07, 2025-05-25"
Rachel Banham,47,397,0.311,REB,Weak Cycle Pattern,0.38,5,91.2,20.5,29.8,"2024-09-03, 2024-09-06, 2024-09-08"
Rachel Banham,47,397,0.311,AST,Irregular Pattern,0.175,4,100.0,122.3,111.1,"2024-08-28, 2024-09-01, 2025-05-30"
Kelsey Mitchell,50,396,0.303,PTS,Irregular Pattern,0.249,9,38.8,49.0,82.3,"2024-09-04, 2024-09-19, 2025-06-10"
Kelsey Mitchell,50,396,0.303,REB,Weak Cycle Pattern,0.483,10,81.8,14.2,9.2,"2024-09-11, 2024-09-15, 2024-09-19"
Kelsey Mitchell,50,396,0.303,AST,Irregular Pattern,0.177,8,85.4,56.3,88.2,"2024-09-13, 2025-06-10, 2025-06-14"
Kayla Thornton,50,397,0.302,PTS,Weak Cycle Pattern,0.454,4,100.0,34.7,23.2,"2024-07-02, 2024-08-24, 2024-08-26"
Kayla Thornton,50,397,0.302,REB,Irregular Pattern,0.189,7,83.9,61.2,91.7,"2024-09-05, 2024-09-15, 2025-06-06"
Kayla Thornton,50,397,0.302,AST,Irregular Pattern,0.263,4,100.0,117.3,140.1,"2024-06-15, 2024-07-16, 2025-05-27"
Monique Billings,45,393,0.297,PTS,Irregular Pattern,0.259,9,79.8,48.0,82.9,"2024-09-03, 2024-09-15, 2025-06-06"
Monique Billings,45,393,0.297,REB,Irregular Pattern,0.174,7,63.9,64.0,116.4,"2024-07-13, 2024-07-17, 2025-06-06"
Monique Billings,45,393,0.297,AST,Weak Cycle Pattern,0.459,7,94.9,20.2,20.9,"2024-07-17, 2024-09-17, 2024-09-19"
Damiris Dantas,30,347,0.297,PTS,Weak Cycle Pattern,0.467,3,100.0,33.0,24.0,"2024-07-02, 2024-08-28, 2024-09-06"
Damiris Dantas,30,347,0.297,REB,Irregular Pattern,0.126,5,79.6,66.0,108.0,"2024-09-04, 2024-09-06, 2025-05-17"
Damiris Dantas,30,347,0.297,AST,Insufficient Data,0.0,0,0.0,0.0,0.0,
Sevgi Uzun,47,382,0.296,PTS,Irregular Pattern,0.219,5,82.0,94.0,137.1,"2024-06-15, 2024-07-05, 2025-06-01"
Sevgi Uzun,47,382,0.296,REB,Weak Cycle Pattern,0.355,7,80.6,9.3,7.2,"2024-06-15, 2024-06-29, 2024-07-10"
Sevgi Uzun,47,382,0.296,AST,Weak Cycle Pattern,0.315,10,72.4,42.3,80.1,"2024-09-01, 2025-05-25, 2025-05-31"
Tiffany Hayes,36,362,0.296,PTS,Irregular Pattern,0.149,5,62.8,87.2,107.8,"2024-08-25, 2024-08-27, 2025-05-22"
Tiffany Hayes,36,362,0.296,REB,Weak Cycle Pattern,0.429,8,83.8,13.7,13.1,"2024-09-13, 2024-09-15, 2024-09-17"
Tiffany Hayes,36,362,0.296,AST,Weak Cycle Pattern,0.309,8,82.5,13.0,15.0,"2024-08-17, 2024-08-27, 2024-09-08"
Alysha Clark,50,397,0.291,PTS,Irregular Pattern,0.233,5,88.0,81.2,99.9,"2024-08-18, 2024-09-06, 2025-05-18"
Alysha Clark,50,397,0.291,REB,Weak Cycle Pattern,0.444,14,64.2,29.7,64.3,"2025-05-24, 2025-05-28, 2025-06-08"
Alysha Clark,50,397,0.291,AST,Irregular Pattern,0.195,7,100.0,65.0,90.7,"2025-05-18, 2025-05-24, 2025-06-08"
Courtney Williams,51,396,0.287,PTS,Irregular Pattern,0.295,10,50.5,41.2,73.8,"2024-09-17, 2024-09-19, 2025-05-23"
Courtney Williams,51,396,0.287,REB,Irregular Pattern,0.218,9,47.6,47.4,89.2,"2024-08-30, 2025-06-04, 2025-06-08"
Courtney Williams,51,396,0.287,AST,Weak Cycle Pattern,0.348,9,46.7,48.1,75.6,"2024-09-19, 2025-05-23, 2025-06-14"
Joyner Holmes,28,376,0.284,PTS,Irregular Pattern,0.216,5,100.0,92.8,139.5,"2024-07-14, 2024-07-16, 2025-06-15"
Joyner Holmes,28,376,0.284,REB,Weak Cycle Pattern,0.352,3,100.0,167.0,134.0,"2024-07-16, 2024-08-18, 2025-06-15"
Joyner Holmes,28,376,0.284,AST,Insufficient Data,0.0,1,0.0,0.0,0.0,
Kayla McBride,46,396,0.281,PTS,Irregular Pattern,0.144,6,62.1,79.2,104.3,"2024-06-19, 2024-09-06, 2025-06-14"
Kayla McBride,46,396,0.281,REB,Irregular Pattern,0.181,7,82.9,64.5,106.5,"2024-07-06, 2024-08-17, 2025-06-14"
Kayla McBride,46,396,0.281,AST,Weak Cycle Pattern,0.519,6,61.0,21.4,14.7,"2024-07-17, 2024-08-30, 2024-09-10"
Natasha Cloud,48,396,0.276,PTS,Irregular Pattern,0.205,8,65.7,53.9,81.9,"2024-09-19, 2025-05-27, 2025-05-30"
Natasha Cloud,48,396,0.276,REB,Weak Cycle Pattern,0.317,10,59.3,42.1,80.7,"2024-09-05, 2025-05-30, 2025-06-01"
Natasha Cloud,48,396,0.276,AST,Weak Cycle Pattern,0.306,10,49.1,43.7,75.9,"2024-09-19, 2025-05-30, 2025-06-11"
A'ja Wilson,46,394,0.274,PTS,Irregular Pattern,0.25,7,34.6,61.8,86.6,"2024-08-21, 2024-09-13, 2025-05-24"
A'ja Wilson,46,394,0.274,REB,Weak Cycle Pattern,0.337,11,37.4,37.2,72.5,"2024-09-15, 2024-09-17, 2025-05-25"
A'ja Wilson,46,394,0.274,AST,Irregular Pattern,0.234,8,79.0,55.0,89.8,"2024-08-17, 2024-09-06, 2025-06-07"
Brittney Griner,39,373,0.271,PTS,Irregular Pattern,0.234,9,63.5,46.6,80.4,"2025-05-22, 2025-05-31, 2025-06-15"
Brittney Griner,39,373,0.271,REB,Irregular Pattern,0.134,7,59.8,59.7,89.2,"2024-09-05, 2024-09-17, 2025-05-31"
Brittney Griner,39,373,0.271,AST,Weak Cycle Pattern,0.447,7,82.5,17.3,13.9,"2024-08-26, 2024-09-17, 2024-09-19"
Jonquel Jones,46,387,0.271,PTS,Irregular Pattern,0.259,9,54.5,48.1,81.3,"2024-08-30, 2024-09-19, 2025-06-05"
Jonquel Jones,46,387,0.271,REB,Irregular Pattern,0.248,7,45.7,63.0,90.4,"2024-09-10, 2024-09-15, 2025-06-05"
Jonquel Jones,46,387,0.271,AST,Weak Cycle Pattern,0.305,7,82.3,62.8,88.6,"2024-08-22, 2024-09-15, 2025-06-01"
Kia Nurse,50,396,0.267,PTS,Weak Cycle Pattern,0.351,11,88.3,38.5,78.4,"2024-09-10, 2025-06-08, 2025-06-13"
Kia Nurse,50,396,0.267,REB,Irregular Pattern,0.187,8,85.8,55.1,87.5,"2024-08-28, 2025-05-17, 2025-06-11"
Kia Nurse,50,396,0.267,AST,Irregular Pattern,0.264,10,86.8,44.0,77.5,"2025-05-25, 2025-06-11, 2025-06-15"
Myisha Hines-Allen,52,396,0.267,PTS,Weak Cycle Pattern,0.361,9,70.5,47.0,75.0,"2025-05-20, 2025-05-24, 2025-06-01"
Myisha Hines-Allen,52,396,0.267,REB,Irregular Pattern,0.186,7,74.2,57.8,90.0,"2024-08-23, 2024-09-19, 2025-06-01"
Myisha Hines-Allen,52,396,0.267,AST,Irregular Pattern,0.255,9,72.8,48.4,83.6,"2024-08-23, 2024-09-19, 2025-06-08"
DeWanna Bonner,49,392,0.267,PTS,Weak Cycle Pattern,0.375,10,56.0,40.2,78.7,"2024-09-01, 2025-05-20, 2025-05-22"
