Player,Total_Games,Date_Range,PTS_Season_Avg,PTS_Current_Streak,PTS_Streak_Length,PTS_Hot_Streaks,PTS_Cold_Streaks,PTS_Bounce_Rate,PTS_Recent_Avg,PTS_Recent_Trend,REB_Season_Avg,REB_Current_Streak,REB_Streak_Length,REB_Hot_Streaks,REB_Cold_Streaks,REB_Bounce_Rate,REB_Recent_Avg,REB_Recent_Trend,AST_Season_Avg,AST_Current_Streak,AST_Streak_Length,AST_Hot_Streaks,AST_Cold_Streaks,AST_Bounce_Rate,AST_Recent_Avg,AST_Recent_Trend
Arike Ogunbowale,50,2024-05-15 00:00:00 to 2025-06-14 00:00:00,20.88,cold,2,1,0,0.0,15.6,up,4.18,cold,2,0,1,0.0,3.0,up,4.94,neutral,7,1,0,0.0,5.0,up
Astou Ndour-Fall,22,2024-05-14 00:00:00 to 2024-09-19 00:00:00,1.1363636363636365,cold,5,1,1,0.14285714285714285,0.6,up,0.8181818181818182,neutral,2,1,1,0.0,0.8,down,0.045454545454545456,hot,4,1,1,0.0625,0.2,down
Azurá Stevens,20,2024-07-07 00:00:00 to 2024-09-19 00:00:00,9.6,neutral,14,1,0,0.0,8.2,down,7.0,hot,4,1,1,0.0,9.2,down,1.9,cold,1,1,0,0.0,1.4,down
Betnijah Laney-Hamilton,28,2024-05-14 00:00:00 to 2024-09-19 00:00:00,11.75,neutral,25,0,0,0.0,10.4,down,4.214285714285714,neutral,10,1,2,0.0,3.2,down,3.3214285714285716,cold,1,1,0,0.0,2.4,down
Breanna Stewart,48,2024-05-14 00:00:00 to 2025-06-14 00:00:00,20.25,neutral,46,0,0,0.0,18.2,up,7.854166666666667,cold,1,1,1,0.14285714285714285,5.8,up,3.5208333333333335,neutral,6,1,1,0.0,4.0,down
Brianna Turner,34,2024-05-15 00:00:00 to 2025-06-14 00:00:00,1.0588235294117647,cold,3,2,2,0.0,0.4,down,1.7352941176470589,cold,3,1,2,0.0,0.6,down,0.38235294117647056,cold,2,1,1,0.05263157894736842,0.2,down
Bridget Carleton,50,2024-05-14 00:00:00 to 2025-06-14 00:00:00,8.92,neutral,2,1,2,0.0,8.0,down,3.78,cold,1,2,0,0.0,2.6,down,2.26,neutral,9,2,1,0.0,2.4,up
Brionna Jones,51,2024-05-14 00:00:00 to 2025-06-15 00:00:00,13.568627450980392,neutral,12,1,0,0.0,12.2,down,6.215686274509804,neutral,4,1,2,0.0,7.2,down,1.588235294117647,cold,2,2,0,0.16666666666666666,0.8,down
Brittney Griner,39,2024-06-07 00:00:00 to 2025-06-15 00:00:00,16.17948717948718,cold,3,1,1,0.0,7.6,down,6.435897435897436,cold,2,0,0,0.0,4.6,up,1.9230769230769231,cold,7,2,1,0.0,0.4,down
Brittney Sykes,28,2024-05-14 00:00:00 to 2025-06-15 00:00:00,14.785714285714286,neutral,1,1,0,0.25,16.8,down,4.178571428571429,neutral,3,0,0,0.0,4.0,up,3.5714285714285716,neutral,5,0,1,0.0,4.2,down
Caitlin Clark,45,2024-05-14 00:00:00 to 2025-06-14 00:00:00,19.488888888888887,neutral,9,0,0,0.0,21.6,up,5.7555555555555555,neutral,21,1,0,0.0,6.4,down,8.511111111111111,neutral,9,1,2,0.0,9.2,down
Cecilia Zandalasini,45,2024-05-14 00:00:00 to 2025-06-10 00:00:00,4.955555555555556,hot,2,2,3,0.125,8.0,down,1.2222222222222223,hot,3,2,2,0.05263157894736842,1.8,down,1.0888888888888888,neutral,1,3,2,0.1111111111111111,1.2,down
Celeste Taylor,22,2024-05-25 00:00:00 to 2024-09-19 00:00:00,2.6363636363636362,hot,5,1,1,0.0,4.0,up,1.2727272727272727,hot,6,1,2,0.08333333333333333,2.8,down,1.2727272727272727,hot,6,1,2,0.0,1.8,up
Chelsea Gray,37,2024-06-19 00:00:00 to 2025-06-15 00:00:00,10.378378378378379,hot,4,1,1,0.0,17.4,up,3.2432432432432434,hot,1,0,2,0.1,4.4,up,4.486486486486487,neutral,2,1,0,0.0,3.4,down
Chennedy Carter,33,2024-05-15 00:00:00 to 2024-09-15 00:00:00,17.484848484848484,neutral,11,1,1,0.0,19.2,up,3.5454545454545454,hot,7,1,1,0.0,5.0,down,3.090909090909091,hot,5,1,1,0.16666666666666666,4.6,down
Cheyenne Parker-Tyus,26,2024-05-15 00:00:00 to 2025-06-15 00:00:00,8.884615384615385,cold,1,1,0,0.0,5.2,down,4.653846153846154,cold,1,2,0,0.0,2.8,down,1.4230769230769231,cold,2,2,1,0.0,1.0,down
Courtney Vandersloot,38,2024-05-14 00:00:00 to 2025-06-08 00:00:00,7.131578947368421,hot,3,1,1,0.1111111111111111,11.2,down,2.710526315789474,neutral,1,2,2,0.1111111111111111,3.2,down,4.894736842105263,neutral,1,0,1,0.0,5.8,down
Courtney Williams,51,2024-05-14 00:00:00 to 2025-06-14 00:00:00,11.392156862745098,neutral,6,0,0,0.0,10.2,down,4.588235294117647,cold,1,0,0,0.0,3.4,down,5.627450980392157,neutral,8,1,0,0.0,5.2,down
Crystal Dangerfield,33,2024-05-15 00:00:00 to 2024-09-19 00:00:00,3.212121212121212,neutral,1,3,1,0.09090909090909091,3.2,down,1.0303030303030303,hot,2,1,1,0.375,1.4,down,1.878787878787879,neutral,2,1,2,0.0,1.8,down
Damiris Dantas,30,2024-07-02 00:00:00 to 2025-06-14 00:00:00,4.266666666666667,hot,2,1,2,0.0,5.6,down,2.4,hot,5,2,2,0.25,3.4,down,0.5666666666666667,neutral,1,2,3,0.2,0.6,up
Dana Evans,49,2024-05-15 00:00:00 to 2025-06-15 00:00:00,6.857142857142857,neutral,8,2,2,0.0,5.2,down,0.9591836734693877,cold,7,4,2,0.18181818181818182,0.2,down,2.2653061224489797,cold,3,2,2,0.0,1.0,down
DeWanna Bonner,49,2024-05-14 00:00:00 to 2025-06-10 00:00:00,13.571428571428571,neutral,2,2,1,0.0,10.8,down,5.551020408163265,cold,2,0,1,0.0,2.6,down,1.9183673469387754,neutral,2,1,1,0.0,1.6,up
Dearica Hamby,52,2024-05-15 00:00:00 to 2025-06-14 00:00:00,17.326923076923077,neutral,16,1,1,0.0,16.8,down,8.923076923076923,neutral,14,1,1,0.0,8.2,up,3.5576923076923075,neutral,3,1,2,0.125,3.4,down
DiDi Richards,20,2024-05-14 00:00:00 to 2024-07-14 00:00:00,2.3,cold,2,2,1,0.4,1.4,up,1.45,neutral,2,1,1,0.3333333333333333,1.6,up,0.65,cold,2,1,1,0.16666666666666666,0.2,down
DiJonai Carrington,51,2024-05-14 00:00:00 to 2025-06-14 00:00:00,12.705882352941176,neutral,3,0,0,0.0,14.0,down,5.0,hot,1,0,2,0.0,7.0,down,1.6666666666666667,hot,5,2,3,0.0,3.2,down
Diamond DeShields,32,2024-05-15 00:00:00 to 2024-09-08 00:00:00,4.46875,hot,2,1,1,0.0,5.6,down,1.4375,neutral,5,1,1,0.125,1.6,down,1.34375,neutral,1,1,2,0.0625,1.4,up
Diamond Miller,30,2024-05-14 00:00:00 to 2025-06-14 00:00:00,2.7666666666666666,cold,4,2,2,0.125,1.0,up,1.4,cold,8,2,2,0.0,0.8,up,0.7,cold,2,1,0,0.3333333333333333,0.4,up
Diana Taurasi,36,2024-05-14 00:00:00 to 2024-09-19 00:00:00,14.944444444444445,neutral,3,0,0,0.0,14.4,down,3.8055555555555554,cold,4,2,2,0.0,2.6,down,3.388888888888889,neutral,1,2,1,0.0,4.2,down
Dorka Juhász,34,2024-05-25 00:00:00 to 2024-09-15 00:00:00,4.764705882352941,cold,8,3,1,0.125,2.4,down,3.7941176470588234,neutral,4,1,2,0.0,3.2,down,1.0588235294117647,hot,5,2,0,0.2857142857142857,1.6,down
Emily Engstler,43,2024-05-19 00:00:00 to 2025-06-15 00:00:00,5.4186046511627906,cold,2,3,2,0.0625,3.2,down,4.046511627906977,hot,1,1,3,0.07692307692307693,5.4,up,1.5116279069767442,neutral,1,1,2,0.07142857142857142,1.8,up
Erica Wheeler,50,2024-05-14 00:00:00 to 2025-06-15 00:00:00,5.12,hot,8,1,2,0.0,10.8,down,1.78,hot,7,2,2,0.05555555555555555,3.8,down,2.3,hot,8,1,1,0.05,5.2,up
Ezi Magbegor,48,2024-05-14 00:00:00 to 2025-06-15 00:00:00,10.770833333333334,neutral,2,2,1,0.0,8.6,up,7.958333333333333,neutral,11,1,1,0.0,7.6,down,2.0416666666666665,neutral,3,1,1,0.0,1.8,down
Gabby Williams,23,2024-08-26 00:00:00 to 2025-06-15 00:00:00,12.26086956521739,hot,5,1,1,0.0,16.0,down,3.9565217391304346,neutral,19,0,0,0.0,4.2,down,3.9565217391304346,neutral,19,0,0,0.0,4.8,up
Haley Jones,44,2024-05-15 00:00:00 to 2025-06-08 00:00:00,3.727272727272727,cold,1,1,1,0.0625,2.6,down,2.1818181818181817,neutral,1,2,3,0.0,1.8,up,2.0,cold,10,2,2,0.0,1.0,up
Isabelle Harrison,45,2024-05-28 00:00:00 to 2025-06-14 00:00:00,5.777777777777778,neutral,1,2,1,0.0,4.4,down,3.7333333333333334,neutral,3,2,2,0.07142857142857142,4.6,up,0.7333333333333333,neutral,1,2,2,0.0,0.6,up
Ivana Dojkić,26,2024-05-14 00:00:00 to 2024-09-17 00:00:00,3.3461538461538463,cold,1,1,1,0.14285714285714285,1.8,down,0.8461538461538461,cold,1,1,1,0.1111111111111111,0.6,down,0.7692307692307693,cold,1,2,1,0.0,0.4,up
Jackie Young,47,2024-05-14 00:00:00 to 2025-06-15 00:00:00,16.4468085106383,neutral,1,1,1,0.0,18.6,up,4.25531914893617,neutral,3,1,0,0.0,4.6,down,4.872340425531915,cold,6,2,2,0.1,3.2,up
Jacy Sheldon,50,2024-05-15 00:00:00 to 2025-06-15 00:00:00,5.74,hot,2,3,2,0.13333333333333333,8.6,up,1.94,neutral,1,2,2,0.0,1.8,up,2.42,cold,1,2,2,0.0,1.6,up
Jade Melbourne,48,2024-05-19 00:00:00 to 2025-06-15 00:00:00,6.041666666666667,neutral,5,1,1,0.1,6.8,up,1.7083333333333333,cold,1,1,2,0.1111111111111111,1.2,down,1.7708333333333333,neutral,4,1,1,0.0,1.4,up
Jewell Loyd,47,2024-05-14 00:00:00 to 2025-06-15 00:00:00,17.872340425531913,cold,8,1,1,0.0,12.0,up,4.425531914893617,neutral,19,2,1,0.0,4.4,down,3.3191489361702127,cold,2,2,1,0.0,2.0,down
Jonquel Jones,46,2024-05-14 00:00:00 to 2025-06-05 00:00:00,14.130434782608695,neutral,6,1,0,0.0,13.8,down,9.173913043478262,neutral,1,0,1,0.0,11.0,down,3.152173913043478,neutral,9,2,1,0.0,2.4,down
Jordan Horston,39,2024-05-14 00:00:00 to 2024-09-19 00:00:00,6.82051282051282,cold,1,1,2,0.0,4.8,down,4.3076923076923075,neutral,5,2,1,0.0,4.2,down,1.7692307692307692,neutral,5,1,1,0.07692307692307693,2.0,down
Jordin Canada,24,2024-06-23 00:00:00 to 2025-06-15 00:00:00,9.625,cold,1,0,0,0.0,5.6,down,3.4166666666666665,neutral,1,0,0,0.0,3.2,up,5.583333333333333,neutral,17,0,0,0.0,4.8,down
Joyner Holmes,28,2024-06-04 00:00:00 to 2025-06-15 00:00:00,2.8214285714285716,hot,3,2,2,0.0,4.6,down,1.75,hot,4,2,2,0.0,3.8,down,0.8928571428571429,neutral,7,0,0,0.2,1.0,down
Julie Vanloo,49,2024-05-14 00:00:00 to 2025-06-10 00:00:00,6.836734693877551,cold,4,1,2,0.0,4.4,down,1.6734693877551021,neutral,1,1,2,0.2,1.6,up,4.285714285714286,hot,1,2,2,0.0,6.0,down
Kahleah Copper,38,2024-05-14 00:00:00 to 2025-06-15 00:00:00,20.86842105263158,cold,3,2,1,0.0,13.0,down,4.473684210526316,cold,1,0,0,0.0,3.2,down,2.236842105263158,hot,2,2,2,0.0,2.8,down
Kalani Brown,49,2024-05-15 00:00:00 to 2025-06-08 00:00:00,5.877551020408164,hot,1,2,2,0.0,7.4,down,3.2653061224489797,hot,3,1,2,0.09090909090909091,5.4,down,0.9591836734693877,neutral,2,3,2,0.0,0.8,down
Kamilla Cardoso,42,2024-06-01 00:00:00 to 2025-06-15 00:00:00,10.047619047619047,neutral,3,1,1,0.0,9.0,up,7.666666666666667,neutral,16,0,0,0.0,6.8,up,1.6904761904761905,neutral,7,1,2,0.07142857142857142,1.4,down
Karlie Samuelson,40,2024-05-14 00:00:00 to 2025-06-14 00:00:00,7.225,cold,6,2,1,0.0,2.8,down,2.225,cold,4,1,1,0.0,0.2,down,1.975,cold,5,2,1,0.0,1.2,up
Kate Martin,43,2024-05-18 00:00:00 to 2025-06-15 00:00:00,3.3255813953488373,hot,6,2,2,0.05263157894736842,7.6,down,1.8372093023255813,hot,4,2,2,0.0,3.6,down,0.7906976744186046,neutral,1,3,3,0.1111111111111111,0.6,up
Katie Lou Samuelson,37,2024-05-14 00:00:00 to 2024-09-19 00:00:00,4.297297297297297,cold,9,3,1,0.1111111111111111,2.6,up,2.2972972972972974,cold,5,1,2,0.125,1.6,up,1.3783783783783783,cold,5,2,3,0.15384615384615385,1.0,up
Kayla McBride,46,2024-05-14 00:00:00 to 2025-06-14 00:00:00,15.08695652173913,neutral,8,0,0,0.0,14.6,down,2.652173913043478,hot,5,2,2,0.09090909090909091,3.6,down,3.369565217391304,hot,2,0,1,0.0,4.4,down
Kayla Thornton,50,2024-05-14 00:00:00 to 2025-06-15 00:00:00,7.3,hot,8,1,2,0.0,16.6,up,3.54,hot,8,2,2,0.043478260869565216,8.6,up,0.76,hot,5,4,3,0.1111111111111111,1.4,down
Kelsey Mitchell,50,2024-05-14 00:00:00 to 2025-06-14 00:00:00,18.78,neutral,11,1,1,0.0,17.4,up,2.32,neutral,3,1,3,0.0,2.4,down,1.92,hot,6,1,2,0.16666666666666666,2.4,down
Kelsey Plum,50,2024-05-14 00:00:00 to 2025-06-14 00:00:00,18.56,neutral,7,0,0,0.0,16.6,up,2.66,hot,3,2,1,0.0,4.4,down,4.52,hot,2,0,1,0.0,6.2,up
Kennedy Burke,48,2024-05-14 00:00:00 to 2025-06-14 00:00:00,4.645833333333333,hot,9,2,3,0.0,8.0,down,1.8333333333333333,hot,6,1,2,0.08333333333333333,2.8,up,0.9791666666666666,hot,1,2,3,0.0,1.4,up
Kia Nurse,50,2024-05-15 00:00:00 to 2025-06-15 00:00:00,7.52,neutral,11,2,2,0.08333333333333333,7.0,down,1.64,neutral,6,1,2,0.058823529411764705,1.8,up,1.28,neutral,2,1,1,0.0,1.0,down
Kiah Stokes,49,2024-05-14 00:00:00 to 2025-06-15 00:00:00,1.530612244897959,hot,4,3,2,0.0,2.6,down,5.122448979591836,hot,1,1,1,0.0,8.0,up,0.7346938775510204,neutral,2,2,2,0.14285714285714285,0.8,up
Kristy Wallace,26,2024-05-14 00:00:00 to 2024-09-19 00:00:00,4.730769230769231,neutral,1,1,1,0.0,3.8,up,1.8461538461538463,cold,4,1,1,0.0,0.8,up,1.7307692307692308,cold,5,2,1,0.0,0.2,up
Layshia Clarendon,21,2024-05-15 00:00:00 to 2024-08-15 00:00:00,4.333333333333333,cold,1,0,0,0.0,3.2,down,1.8095238095238095,neutral,2,1,1,0.0,1.8,up,2.5714285714285716,hot,2,1,1,0.0,3.4,down
Leonie Fiebich,50,2024-05-14 00:00:00 to 2025-06-14 00:00:00,6.54,neutral,1,2,1,0.0,8.0,down,3.1,neutral,1,3,1,0.0,3.0,down,1.5,cold,10,1,2,0.058823529411764705,0.4,down
Lexie Brown,24,2024-05-15 00:00:00 to 2025-06-15 00:00:00,5.708333333333333,cold,7,2,1,0.0,1.6,up,1.6666666666666667,cold,9,1,1,0.0,0.4,down,2.2916666666666665,cold,7,1,1,0.0,0.0,down
Lexie Hull,44,2024-05-16 00:00:00 to 2025-06-14 00:00:00,6.454545454545454,hot,6,2,2,0.05555555555555555,9.8,up,2.8863636363636362,hot,3,2,3,0.058823529411764705,5.0,down,1.1818181818181819,hot,4,2,3,0.05555555555555555,2.0,up
Li Yueru,47,2024-05-15 00:00:00 to 2025-06-08 00:00:00,4.638297872340425,cold,6,2,3,0.07142857142857142,3.4,down,3.276595744680851,cold,6,2,1,0.125,1.4,down,0.5957446808510638,cold,4,2,4,0.18181818181818182,0.2,down
Lindsay Allen,44,2024-05-15 00:00:00 to 2025-06-15 00:00:00,6.136363636363637,cold,1,2,1,0.0,2.0,down,1.8863636363636365,cold,1,2,1,0.06666666666666667,0.8,down,3.7954545454545454,neutral,2,3,1,0.08333333333333333,3.0,down
Lorela Cubaj,28,2024-05-26 00:00:00 to 2024-09-19 00:00:00,1.1785714285714286,hot,2,0,2,0.45454545454545453,2.2,up,1.4642857142857142,hot,1,1,1,0.125,2.2,down,0.5357142857142857,hot,1,0,1,0.2727272727272727,0.8,down
Lou Lopez Sénéchal,27,2024-05-15 00:00:00 to 2024-09-19 00:00:00,0.9259259259259259,neutral,1,1,2,0.06666666666666667,0.8,up,0.4074074074074074,hot,1,1,2,0.0,0.6,up,0.37037037037037035,cold,4,1,3,0.15384615384615385,0.2,down
Maddy Siegrist,38,2024-05-15 00:00:00 to 2025-06-12 00:00:00,9.421052631578947,neutral,12,1,1,0.0,8.8,down,3.8684210526315788,hot,5,1,1,0.18181818181818182,6.6,down,0.8421052631578947,neutral,2,2,2,0.07692307692307693,0.8,down
Marina Mabrey,50,2024-05-15 00:00:00 to 2025-06-15 00:00:00,15.02,hot,3,1,0,0.0,21.0,down,4.52,neutral,3,1,1,0.0,5.0,down,4.02,neutral,13,1,2,0.0,4.4,down
Marquesha Davis,27,2024-05-16 00:00:00 to 2025-06-11 00:00:00,1.037037037037037,neutral,1,2,1,0.09090909090909091,0.8,up,0.5185185185185185,neutral,1,1,1,0.2,0.4,down,0.18518518518518517,neutral,5,1,1,0.3333333333333333,0.2,down
Maya Caldwell,36,2024-06-28 00:00:00 to 2025-06-15 00:00:00,4.694444444444445,cold,2,1,2,0.0,2.0,up,1.9444444444444444,neutral,4,0,1,0.125,2.4,down,1.2222222222222223,cold,1,2,2,0.0,0.8,down
Megan Gustafson,38,2024-05-14 00:00:00 to 2024-09-19 00:00:00,3.710526315789474,hot,1,0,3,0.08333333333333333,7.4,up,1.9210526315789473,neutral,1,2,1,0.2857142857142857,2.0,up,0.23684210526315788,neutral,2,2,1,0.0,0.2,up
Mercedes Russell,49,2024-05-14 00:00:00 to 2025-06-14 00:00:00,3.3469387755102042,cold,1,3,3,0.0,2.4,down,2.5510204081632653,cold,8,3,2,0.0,1.0,down,0.8163265306122449,cold,1,2,3,0.06666666666666667,0.6,up
Michaela Onyenwere,44,2024-05-15 00:00:00 to 2025-06-15 00:00:00,5.863636363636363,cold,8,1,2,0.0,4.2,up,1.6363636363636365,cold,4,1,2,0.0,0.8,down,0.9318181818181818,cold,1,1,3,0.0,0.2,down
Mikiah Herbert Harrigan,31,2024-05-14 00:00:00 to 2024-09-19 00:00:00,3.161290322580645,hot,2,1,3,0.14285714285714285,5.4,up,1.4516129032258065,neutral,1,1,1,0.07142857142857142,1.8,up,0.2903225806451613,hot,3,2,2,0.16666666666666666,0.6,down
Monique Billings,45,2024-05-18 00:00:00 to 2025-06-15 00:00:00,7.4222222222222225,neutral,6,1,2,0.0,7.2,down,5.688888888888889,neutral,6,1,2,0.0,5.0,down,1.2666666666666666,cold,12,1,2,0.0,0.2,down
Moriah Jefferson,23,2024-05-14 00:00:00 to 2024-09-19 00:00:00,1.3478260869565217,cold,8,1,1,0.1111111111111111,0.4,down,0.391304347826087,cold,4,1,2,0.3333333333333333,0.0,down,1.3043478260869565,neutral,4,1,1,0.125,1.4,up
Myisha Hines-Allen,52,2024-05-14 00:00:00 to 2025-06-14 00:00:00,7.5576923076923075,neutral,1,1,1,0.0,6.6,down,4.884615384615385,neutral,6,2,2,0.0,5.6,down,2.6538461538461537,neutral,3,2,1,0.0,2.4,down
NaLyssa Smith,52,2024-05-14 00:00:00 to 2025-06-14 00:00:00,9.673076923076923,cold,4,2,1,0.0,3.6,down,6.288461538461538,cold,9,1,1,0.0,3.4,down,0.9423076923076923,cold,3,1,3,0.07692307692307693,0.6,down
Napheesa Collier,44,2024-05-14 00:00:00 to 2025-06-14 00:00:00,21.704545454545453,neutral,6,0,0,0.0,25.4,up,9.5,neutral,6,0,0,0.0,9.8,down,3.5,hot,2,0,2,0.0,4.8,up
Natasha Cloud,48,2024-05-14 00:00:00 to 2025-06-14 00:00:00,11.0,cold,4,2,1,0.0,4.4,up,4.041666666666667,cold,3,1,2,0.14285714285714285,3.0,up,6.75,cold,2,0,1,0.0,4.6,up
Natasha Howard,37,2024-05-15 00:00:00 to 2025-06-14 00:00:00,15.81081081081081,cold,5,1,1,0.0,9.4,down,6.594594594594595,neutral,20,0,0,0.0,5.4,down,2.324324324324324,cold,7,3,1,0.1111111111111111,0.6,down
Natasha Mack,42,2024-05-14 00:00:00 to 2025-06-15 00:00:00,3.761904761904762,hot,4,1,2,0.0625,5.8,down,4.9523809523809526,neutral,20,1,1,0.0,4.4,up,1.0714285714285714,cold,12,2,2,0.0,0.8,down
Natisha Hiedeman,51,2024-05-14 00:00:00 to 2025-06-14 00:00:00,5.764705882352941,hot,6,1,2,0.0625,11.2,up,1.588235294117647,neutral,1,2,0,0.0,1.2,down,2.5098039215686274,hot,1,1,3,0.15384615384615385,3.2,up
Naz Hillmon,51,2024-05-15 00:00:00 to 2025-06-15 00:00:00,5.745098039215686,hot,4,2,2,0.0,7.4,down,4.745098039215686,neutral,2,2,2,0.0,5.8,up,1.4509803921568627,hot,4,2,3,0.05263157894736842,3.0,up
Nia Coffey,51,2024-05-15 00:00:00 to 2025-06-15 00:00:00,3.823529411764706,neutral,2,3,3,0.05263157894736842,3.2,down,2.7058823529411766,neutral,2,2,2,0.125,2.6,down,1.2352941176470589,cold,1,2,1,0.05263157894736842,0.8,down
Nneka Ogwumike,48,2024-05-14 00:00:00 to 2025-06-15 00:00:00,16.479166666666668,neutral,14,0,0,0.0,12.6,down,7.770833333333333,neutral,6,0,0,0.0,7.6,down,2.3958333333333335,hot,2,2,2,0.0,3.0,down
Nyara Sabally,30,2024-05-14 00:00:00 to 2025-06-14 00:00:00,5.166666666666667,hot,6,1,2,0.09090909090909091,8.2,down,4.166666666666667,neutral,8,1,0,0.0,4.8,up,0.6333333333333333,hot,1,3,2,0.1,0.8,up
Odyssey Sims,35,2024-06-27 00:00:00 to 2025-06-12 00:00:00,11.942857142857143,neutral,2,1,1,0.0,14.2,down,2.4,hot,3,2,1,0.0,4.0,down,4.714285714285714,cold,6,1,1,0.0,3.0,up
Olivia Nelson-Ododa,46,2024-05-14 00:00:00 to 2025-06-15 00:00:00,4.326086956521739,neutral,1,1,3,0.1,5.4,down,3.239130434782609,hot,7,1,3,0.047619047619047616,6.0,up,0.32608695652173914,hot,7,1,3,0.125,0.6,down
Rachel Banham,47,2024-05-14 00:00:00 to 2025-06-15 00:00:00,5.680851063829787,neutral,2,2,2,0.16666666666666666,5.2,down,1.2765957446808511,neutral,2,2,1,0.09090909090909091,1.0,down,1.1702127659574468,hot,3,2,2,0.05263157894736842,2.2,down
Rae Burrell,38,2024-05-15 00:00:00 to 2025-05-17 00:00:00,5.7894736842105265,neutral,4,2,1,0.0,4.8,down,1.7894736842105263,hot,2,1,1,0.1,2.4,down,1.105263157894737,neutral,3,3,2,0.07692307692307693,1.0,down
Rebecca Allen,28,2024-05-14 00:00:00 to 2025-06-15 00:00:00,7.0,cold,1,1,0,0.0,4.2,down,3.7142857142857144,neutral,6,1,0,0.0,3.6,down,1.1428571428571428,hot,2,0,2,0.1111111111111111,1.8,down
Rhyne Howard,41,2024-05-15 00:00:00 to 2025-06-15 00:00:00,17.390243902439025,neutral,10,1,1,0.0,20.8,down,4.585365853658536,neutral,1,2,1,0.0,4.8,down,3.5609756097560976,neutral,1,1,1,0.0,4.4,down
Rickea Jackson,47,2024-05-15 00:00:00 to 2025-06-14 00:00:00,13.23404255319149,neutral,2,2,1,0.0,13.2,up,3.8297872340425534,neutral,2,1,1,0.0,3.4,up,1.4680851063829787,neutral,1,2,1,0.07142857142857142,1.2,up
Sabrina Ionescu,48,2024-05-14 00:00:00 to 2025-06-14 00:00:00,18.458333333333332,hot,1,1,1,0.0,23.2,up,4.270833333333333,cold,2,1,1,0.0,2.2,down,5.958333333333333,neutral,10,1,0,0.0,5.6,down
Sami Whitcomb,52,2024-05-14 00:00:00 to 2025-06-15 00:00:00,5.75,hot,6,3,2,0.0,9.6,up,2.269230769230769,hot,6,2,2,0.0,4.2,down,1.75,neutral,1,3,1,0.25,1.6,down
