player_name,bbref_id,stat_type,reason
Paige Bueckers,bueckpa01w,FG Attempted,Stat FG Attempted not found
Paige Bueckers,bueckpa01w,Free Throws Made,Stat Free Throws Made not found
DiJonai Carrington,carridi01w,FG Attempted,Stat FG Attempted not found
DiJonai Carrington,carridi01w,Free Throws Made,Stat Free Throws Made not found
Kayla Thornton,thornka01w,Defensive Rebounds,Stat Defensive Rebounds not found
Kayla Thornton,thornka01w,FG Attempted,Stat FG Attempted not found
Kayla Thornton,thornka01w,Offensive Rebounds,Stat Offensive Rebounds not found
Kayla Thornton,thornka01w,3-PT Attempted,Stat 3-PT Attempted not found
Veronica Burton,burtove01w,Free Throws Made,Stat Free Throws Made not found
Brittney Sykes,sykesbr01w,Offensive Rebounds,Stat Offensive Rebounds not found
Brittney Sykes,sykesbr01w,Free Throws Made,Stat Free Throws Made not found
Brittney Sykes,sykesbr01w,FG Attempted,Stat FG Attempted not found
Angel Reese,reesean01w,Defensive Rebounds,Stat Defensive Rebounds not found
Angel Reese,reesean01w,Offensive Rebounds,Stat Offensive Rebounds not found
Angel Reese,reesean01w,FG Attempted,Stat FG Attempted not found
Angel Reese,reesean01w,Free Throws Made,Stat Free Throws Made not found
Ariel Atkins,atkinar01w,Free Throws Made,Stat Free Throws Made not found
Ariel Atkins,atkinar01w,FG Attempted,Stat FG Attempted not found
Ariel Atkins,atkinar01w,Offensive Rebounds,Stat Offensive Rebounds not found
Kamilla Cardoso,cardoka01w,Offensive Rebounds,Stat Offensive Rebounds not found
Kamilla Cardoso,cardoka01w,Free Throws Made,Stat Free Throws Made not found
Kamilla Cardoso,cardoka01w,Defensive Rebounds,Stat Defensive Rebounds not found
Kiki Iriafen,iriafki01w,Free Throws Made,Stat Free Throws Made not found
Kiki Iriafen,iriafki01w,Offensive Rebounds,Stat Offensive Rebounds not found
Kiki Iriafen,iriafki01w,Defensive Rebounds,Stat Defensive Rebounds not found
Kiki Iriafen,iriafki01w,FG Attempted,Stat FG Attempted not found
Sonia Citron,citroso01w,FG Attempted,Stat FG Attempted not found
Sonia Citron,citroso01w,Free Throws Made,Stat Free Throws Made not found
Gabby Williams,williga01w,FG Attempted,Stat FG Attempted not found
Ezi Magbegor,magbeez01w,Free Throws Made,Stat Free Throws Made not found
Ezi Magbegor,magbeez01w,Offensive Rebounds,Stat Offensive Rebounds not found
Azura Stevens,steveaz01w,Offensive Rebounds,Stat Offensive Rebounds not found
Azura Stevens,steveaz01w,Defensive Rebounds,Stat Defensive Rebounds not found
Dearica Hamby,hambyde01w,Defensive Rebounds,Stat Defensive Rebounds not found
Dearica Hamby,hambyde01w,Offensive Rebounds,Stat Offensive Rebounds not found
Rickea Jackson,jacksri01w,Offensive Rebounds,Stat Offensive Rebounds not found
Skylar Diggins,diggisk01w,FG Attempted,Stat FG Attempted not found
Skylar Diggins,diggisk01w,Free Throws Made,Stat Free Throws Made not found
Nneka Ogwumike,ogwumnn01w,Offensive Rebounds,Stat Offensive Rebounds not found
Nneka Ogwumike,ogwumnn01w,FG Attempted,Stat FG Attempted not found
Nneka Ogwumike,ogwumnn01w,Defensive Rebounds,Stat Defensive Rebounds not found
Nneka Ogwumike,ogwumnn01w,Free Throws Made,Stat Free Throws Made not found
