player,date,team,opponent,points,assists,rebounds,fantasy_points,minutes,trend_phase,games_in_trend,dip_type,fantasy_points_roll_3,fantasy_points_pct_drop,cycle_performance_score,days_in_cycle,percent_drop_from_avg
Alyssa Thomas,2024-09-19,CON,CHI,13,7,5,27.0,21.73333333333333,Stable,1,none,29.0,0.06224737267582864,-0.15925626515763947,16,6.2
Lindsay Allen,2024-09-19,CHI,CON,4,5,1,12.0,25.2,Stable,1,none,18.333333333333332,-0.23664980326025856,-0.10061832490163004,15,-23.7
Kayla Thornton,2024-09-19,NYL,ATL,2,0,3,5.0,21.75,Recovery,2,none,8.0,0.3220338983050848,0.35593220338983045,16,32.2
Azurá Stevens,2024-09-19,LAS,MIN,5,0,4,14.0,21.1,Trough,1,unknown,11.666666666666666,0.5014245014245015,0.0,0,50.1
Moriah Jefferson,2024-09-19,CHI,CON,0,3,0,5.0,14.8,Recovery,1,none,3.0,0.23333333333333334,0.0,0,23.3
Allisha Gray,2024-09-19,ATL,NYL,10,5,5,21.0,19.966666666666665,Stable,1,none,26.666666666666668,0.04334828101644241,-0.24663677130044842,15,4.3
Lorela Cubaj,2024-09-19,ATL,NYL,3,2,3,8.0,15.8,Stable,3,none,4.333333333333333,-0.09309309309309298,1.018018018018018,4,-9.3
Haley Jones,2024-09-19,ATL,NYL,4,1,1,10.0,13.433333333333334,Recovery,3,none,8.333333333333334,0.12967798085291546,0.04438642297650138,15,13.0
Natasha Howard,2024-09-19,DAL,LVA,13,1,7,22.0,32.6,Trough,1,unknown,25.0,0.2105263157894737,0.0,0,21.1
Sug Sutton,2024-09-19,WAS,IND,0,1,0,1.0,9.283333333333331,Trough,1,cycle,3.3333333333333335,0.5190713101160862,-0.8557213930348259,16,51.9
Astou Ndour-Fall,2024-09-19,CON,CHI,2,0,1,7.0,10.533333333333331,Peak,1,none,3.0,-0.1785714285714286,0.0,0,-17.9
Jade Melbourne,2024-09-19,WAS,IND,9,2,2,22.0,19.766666666666666,Peak,1,none,14.333333333333334,-0.3563512361466325,0.7979539641943733,11,-35.6
Victoria Vivians,2024-09-19,SEA,PHO,9,1,1,14.0,15.766666666666667,Stable,1,none,7.666666666666667,0.0061728395061728175,0.2098765432098766,16,0.6
Kristy Wallace,2024-09-19,IND,WAS,17,1,4,25.0,25.133333333333333,Recovery,1,none,9.666666666666666,0.10557532621589573,0.0,0,10.6
Isabelle Harrison,2024-09-19,CHI,CON,13,2,11,31.0,28.866666666666667,Peak,2,none,25.666666666666668,-0.9701492537313433,0.20255863539445618,2,-97.0
Natasha Cloud,2024-09-19,PHO,SEA,4,4,3,13.0,20.266666666666666,Stable,1,none,27.0,0.025641025641025602,-0.5308641975308642,16,2.6
Stefanie Dolson,2024-09-19,WAS,IND,2,1,6,9.0,21.85,Trough,3,unknown,7.666666666666667,0.633578431372549,0.0514705882352941,16,63.4
Ariel Atkins,2024-09-19,WAS,IND,17,2,0,30.0,20.6,Ascending,1,none,29.0,-0.06715731370745168,-0.09843606255749772,16,-6.7
Stephanie Talbot,2024-09-19,LAS,MIN,3,2,3,9.0,12.2,Stable,2,none,10.666666666666666,-0.004240882103477522,-0.48218829516539435,15,-0.4
Myisha Hines-Allen,2024-09-19,MIN,LAS,6,0,3,11.0,27.183333333333334,Descending,1,cycle,15.0,0.11764705882352941,0.3235294117647059,16,11.8
Jaylyn Sherrod,2024-09-19,NYL,ATL,8,1,1,13.0,10.0,Peak,1,none,4.333333333333333,-0.17117117117117103,0.0,0,-17.1
Kelsey Mitchell,2024-09-19,IND,WAS,4,1,0,5.0,4.6,Trough,1,cycle,23.0,0.17414721723518856,-0.4614003590664273,16,17.4
Grace Berger,2024-09-19,IND,WAS,2,1,3,8.0,11.5,Recovery,1,none,3.0,0.49230769230769234,0.0,0,49.2
Li Yueru,2024-09-19,LAS,MIN,2,0,2,4.0,6.7,Stable,1,none,15.666666666666666,-0.484621778886118,-0.5261845386533666,15,-48.5
Sophie Cunningham,2024-09-19,PHO,SEA,10,0,2,18.0,21.75,Peak,1,none,23.0,-0.24324324324324326,-0.02702702702702703,16,-24.3
Natisha Hiedeman,2024-09-19,MIN,LAS,7,3,3,14.0,24.7,Recovery,1,none,9.333333333333334,0.1703703703703703,0.1111111111111111,16,17.0
Alysha Clark,2024-09-19,LVA,DAL,10,2,3,17.0,24.98333333333333,Recovery,1,none,10.666666666666666,0.27683615819209045,-0.1864406779661017,16,27.7
Monique Billings,2024-09-19,PHO,SEA,0,0,4,4.0,18.25,Trough,1,cycle,7.0,0.5921259842519685,-0.15511811023622044,12,59.2
Kiah Stokes,2024-09-19,LVA,DAL,3,1,5,12.0,17.233333333333334,Stable,2,none,10.0,-0.015624999999999944,1.0312499999999998,16,-1.6
Leonie Fiebich,2024-09-19,NYL,ATL,3,0,1,7.0,10.666666666666666,Descending,1,cycle,13.666666666666666,0.09342177998894416,0.35986733001658383,16,9.3
NaLyssa Smith,2024-09-19,IND,WAS,16,0,5,23.0,20.416666666666668,Recovery,3,none,18.0,0.2,0.40740740740740744,16,20.0
Lou Lopez Sénéchal,2024-09-19,DAL,LVA,2,0,1,5.0,11.683333333333334,Peak,1,none,3.0,-0.4727272727272726,0.0,0,-47.3
Breanna Stewart,2024-09-19,NYL,ATL,16,0,2,21.0,16.45,Stable,3,none,38.666666666666664,0.02304964539007104,-0.254654255319149,16,2.3
Erica Wheeler,2024-09-19,IND,WAS,7,7,1,18.0,24.816666666666663,Ascending,1,none,9.0,-0.09345794392523375,1.6728971962616825,16,-9.3
Natasha Mack,2024-09-19,PHO,SEA,10,0,6,18.0,18.3,Peak,2,none,18.0,-0.3235294117647059,0.3235294117647059,16,-32.4
Sydney Colson,2024-09-19,LVA,DAL,13,4,5,33.0,31.633333333333333,Peak,1,none,13.333333333333334,-1.3754789272030652,4.879310344827585,16,-137.5
Jaelyn Brown,2024-09-19,DAL,LVA,15,0,3,27.0,20.916666666666668,Peak,1,none,15.333333333333334,-1.4961240310077517,0.0,0,-149.6
Jonquel Jones,2024-09-19,NYL,ATL,7,3,10,29.0,30.48333333333333,Recovery,1,none,24.0,0.25,-0.078125,16,25.0
Skylar Diggins,2024-09-19,SEA,PHO,14,6,2,26.0,25.0,Stable,2,none,31.333333333333332,-0.03239978034047218,-0.06644700713893473,16,-3.2
Gabby Williams,2024-09-19,SEA,PHO,10,6,5,25.0,25.98333333333333,Stable,2,none,31.666666666666668,-0.39705882352941174,0.0,0,-39.7
Betnijah Laney-Hamilton,2024-09-19,NYL,ATL,9,1,2,15.0,25.23333333333333,Trough,1,cycle,15.333333333333334,0.33642452344152496,-0.3508500772797527,16,33.6
Jacy Sheldon,2024-09-19,DAL,LVA,4,3,2,11.0,26.9,Peak,1,none,15.666666666666666,-0.2583668005354753,-0.036144578313252955,15,-25.8
Sug Sutton,2024-09-17,WAS,NYL,0,2,1,5.0,9.866666666666667,Recovery,1,none,5.333333333333333,0.23051409618573807,-0.27860696517412936,14,23.1
Alyssa Thomas,2024-09-17,CON,MIN,18,10,8,40.0,36.45,Recovery,1,none,27.666666666666668,0.10536243600107786,0.15332794395041757,14,10.5
Megan Gustafson,2024-09-17,LVA,SEA,0,0,1,1.0,7.65,Stable,1,none,7.666666666666667,-0.03677342823250305,-0.8647686832740213,14,-3.7
Sydney Colson,2024-09-17,LVA,SEA,2,1,0,7.0,9.666666666666666,Trough,2,cycle,2.6666666666666665,0.5249042145593871,0.24712643678160912,14,52.5
Lindsay Allen,2024-09-17,CHI,ATL,16,4,4,24.0,30.45,Peak,3,none,21.0,-0.4165261382799326,0.11298482293423277,13,-41.7
Chelsea Gray,2024-09-17,LVA,SEA,13,5,6,29.0,29.8,Peak,1,none,27.0,-0.26562500000000006,0.0,0,-26.6
Rhyne Howard,2024-09-17,ATL,CHI,15,3,4,27.0,33.71666666666667,Stable,1,none,29.333333333333332,0.09278350515463928,-0.16494845360824748,13,9.3
Sabrina Ionescu,2024-09-17,NYL,WAS,5,7,6,21.0,27.883333333333333,Trough,1,cycle,29.0,0.15490797546012275,-0.38803680981595096,14,15.5
Courtney Vandersloot,2024-09-17,NYL,WAS,5,4,5,18.0,21.716666666666665,Recovery,1,none,14.666666666666666,0.1339682539682539,0.5352380952380954,14,13.4
Rickea Jackson,2024-09-17,LAS,PHO,8,0,3,13.0,19.683333333333334,Stable,2,none,26.333333333333332,-0.20518688024408835,-0.16094584286803978,13,-20.5
Li Yueru,2024-09-17,LAS,PHO,19,3,12,35.0,30.83333333333333,Peak,1,none,16.333333333333332,-0.5477971737323357,1.147963424771405,13,-54.8
Kia Nurse,2024-09-17,LAS,PHO,10,1,7,22.0,25.15,Stable,1,none,13.333333333333334,-0.0396361273554257,0.7413905133203379,13,-4.0
Maya Caldwell,2024-09-17,ATL,CHI,2,1,2,5.0,11.933333333333334,Trough,1,unknown,7.0,0.32170542635658916,0.0,0,32.2
Kelsey Plum,2024-09-17,LVA,SEA,21,2,7,35.0,32.083333333333336,Stable,1,none,28.666666666666668,0.009696969696969605,0.20909090909090916,14,1.0
Stefanie Dolson,2024-09-17,WAS,NYL,3,1,0,5.0,18.83333333333333,Trough,2,cycle,12.333333333333334,0.4105392156862745,-0.4264705882352941,14,41.1
Karlie Samuelson,2024-09-17,WAS,NYL,7,4,3,16.0,21.83333333333333,Recovery,2,none,13.333333333333334,0.20110192837465563,-0.041322314049586806,14,20.1
Brittney Sykes,2024-09-17,WAS,NYL,8,0,5,15.0,19.566666666666663,Stable,2,none,21.666666666666668,0.04878048780487803,0.0,0,4.9
Brianna Turner,2024-09-17,CHI,ATL,8,3,9,24.0,33.25,Peak,3,none,17.333333333333332,-2.3428571428571425,0.0,0,-234.3
Kennedy Burke,2024-09-17,NYL,WAS,7,1,2,13.0,13.216666666666669,Peak,2,none,11.666666666666666,-0.44408251900108564,0.8566775244299674,14,-44.4
Kayla McBride,2024-09-17,MIN,CON,14,1,7,24.0,37.56666666666667,Recovery,3,none,21.0,0.19627085377821393,-0.08145240431795876,14,19.6
Bridget Carleton,2024-09-17,MIN,CON,13,1,3,20.0,34.266666666666666,Stable,1,none,20.666666666666668,-0.007499999999999973,-0.02500000000000008,14,-0.7
Shatori Walker-Kimbrough,2024-09-17,WAS,NYL,3,1,0,6.0,21.616666666666667,Descending,1,cycle,13.333333333333334,0.1081382385730211,-0.5986622073578595,14,10.8
Breanna Stewart,2024-09-17,NYL,WAS,15,1,10,31.0,25.633333333333333,Stable,2,none,38.666666666666664,0.02304964539007104,-0.0525265957446809,14,2.3
Skylar Diggins,2024-09-17,SEA,LVA,17,9,0,33.0,34.81666666666667,Stable,1,none,35.666666666666664,-0.17517847336628212,0.07633168588687521,14,-17.5
Brionna Jones,2024-09-17,CON,MIN,10,0,8,22.0,28.53333333333333,Stable,2,none,28.0,-0.15463917525773196,0.16838487972508587,14,-15.5
Betnijah Laney-Hamilton,2024-09-17,NYL,WAS,11,2,5,23.0,24.28333333333333,Recovery,1,none,20.666666666666668,0.10561566202988147,-0.004636785162287503,14,10.6
Sophie Cunningham,2024-09-17,PHO,LAS,14,2,3,26.0,29.516666666666666,Ascending,1,none,20.666666666666668,-0.11711711711711718,0.40540540540540543,14,-11.7
Brittney Griner,2024-09-17,PHO,LAS,14,1,3,22.0,14.366666666666667,Peak,2,none,38.0,-0.2218649517684887,-0.29260450160771706,18,-22.2
Kayla Thornton,2024-09-17,NYL,WAS,6,1,4,15.0,19.83333333333333,Recovery,1,none,7.0,0.4067796610169492,0.44067796610169485,14,40.7
Stephanie Talbot,2024-09-17,LAS,PHO,4,3,4,17.0,19.016666666666666,Stable,1,none,9.666666666666666,0.08990670059372351,0.09838846480067855,13,9.0
Marina Mabrey,2024-09-17,CON,MIN,13,4,3,29.0,29.85,Stable,1,none,30.0,-0.05820105820105815,-0.2710170487948266,13,-5.8
Azurá Stevens,2024-09-17,LAS,PHO,2,0,4,6.0,13.383333333333333,Descending,1,unknown,21.666666666666668,0.07407407407407397,0.0,0,7.4
Allisha Gray,2024-09-17,ATL,CHI,15,1,2,26.0,33.416666666666664,Peak,1,none,33.666666666666664,-0.20777279521674133,-0.06726457399103139,13,-20.8
Sami Whitcomb,2024-09-17,SEA,LVA,4,2,3,9.0,19.23333333333333,Recovery,1,none,8.666666666666666,0.25125989920806335,-0.10727141828653697,14,25.1
Marquesha Davis,2024-09-17,NYL,WAS,2,0,0,2.0,3.1166666666666667,Recovery,2,none,2.0,0.18367346938775517,0.0,0,18.4
Lorela Cubaj,2024-09-17,ATL,CHI,4,0,1,5.0,6.2,Stable,2,none,5.666666666666667,-0.42942942942942947,0.2612612612612612,2,-42.9
Sika Koné,2024-09-17,WAS,NYL,8,1,5,16.0,23.9,Stable,1,none,17.0,-1.365979381443299,0.0,0,-136.6
Tiffany Hayes,2024-09-17,LVA,SEA,10,1,0,17.0,20.5,Trough,1,unknown,13.333333333333334,0.2347826086956522,-0.0243478260869566,20,23.5
Cecilia Zandalasini,2024-09-17,MIN,CON,0,0,0,0.0,5.233333333333333,Trough,1,cycle,5.666666666666667,0.35422602089268757,-1.0,14,35.4
Ariel Atkins,2024-09-17,WAS,NYL,22,3,4,32.0,24.48333333333333,Stable,1,none,27.0,0.006439742410303614,0.32474701011959517,14,0.6
Celeste Taylor,2024-09-17,PHO,LAS,3,0,5,20.0,30.05,Peak,1,none,13.0,-0.6823529411764705,0.0,0,-68.2
Alanna Smith,2024-09-17,MIN,CON,9,3,6,26.0,28.23333333333333,Stable,2,none,26.333333333333332,-0.021890547263681514,0.008955223880596982,14,-2.2
Rae Burrell,2024-09-17,LAS,PHO,3,1,1,7.0,13.466666666666669,Stable,1,none,14.0,-0.1935483870967742,-0.09062980030721972,13,-19.4
Jordan Horston,2024-09-17,SEA,LVA,2,2,6,10.0,19.516666666666666,Trough,1,cycle,14.333333333333334,0.16317365269461073,-0.3577844311377245,14,16.3
Diana Taurasi,2024-09-17,PHO,LAS,13,5,3,23.0,21.933333333333334,Stable,2,none,25.0,0.0496304118268216,-0.2206969376979937,14,5.0
Leonie Fiebich,2024-09-17,NYL,WAS,13,2,2,22.0,20.9,Stable,4,none,16.666666666666668,-0.10558319513543407,-0.03814262023217242,14,-10.6
Monique Billings,2024-09-17,PHO,LAS,9,0,3,14.0,16.783333333333335,Recovery,1,none,10.0,0.41732283464566927,-0.18425196850393696,10,41.7
Emily Engstler,2024-09-17,WAS,NYL,7,2,8,26.0,25.633333333333333,Peak,1,none,18.666666666666668,-0.23161512027491415,-0.010309278350515464,9,-23.2
Naz Hillmon,2024-09-17,ATL,CHI,6,3,5,18.0,26.433333333333334,Stable,1,none,21.333333333333332,-0.5430982519590114,0.301989150090416,13,-54.3
Veronica Burton,2024-09-17,CON,MIN,0,0,1,1.0,5.866666666666667,Trough,1,cycle,4.0,0.5098814229249012,-0.6324110671936759,17,51.0
Nia Coffey,2024-09-17,ATL,CHI,4,0,4,8.0,13.4,Recovery,1,none,3.0,0.6712328767123288,-0.1232876712328767,13,67.1
Jordin Canada,2024-09-17,ATL,CHI,18,5,2,35.0,33.5,Ascending,1,none,26.333333333333332,-0.08367626886145396,0.0,0,-8.4
Jonquel Jones,2024-09-17,NYL,WAS,11,5,7,26.0,23.683333333333334,Trough,2,unknown,23.0,0.28125,0.09375,14,28.1
Kiah Stokes,2024-09-17,LVA,SEA,0,0,3,3.0,13.916666666666666,Stable,1,none,10.0,-0.015624999999999944,-0.6953125,14,-1.6
Mikiah Herbert Harrigan,2024-09-17,PHO,LAS,10,0,2,18.0,18.1,Peak,1,none,9.0,-0.25112107623318386,0.8071748878923767,14,-25.1
Joyner Holmes,2024-09-17,SEA,LVA,8,0,3,13.0,20.6,Peak,2,none,10.0,-0.4754098360655738,0.0,0,-47.5
Nneka Ogwumike,2024-09-17,SEA,LVA,19,0,6,29.0,32.15,Stable,2,none,30.333333333333332,0.05923442302319084,-0.02822017323274658,14,5.9
DiJonai Carrington,2024-09-17,CON,MIN,15,2,4,23.0,34.1,Descending,2,unknown,20.666666666666668,0.13796791443850262,-0.04064171122994653,14,13.8
Tyasha Harris,2024-09-17,CON,MIN,9,2,6,28.0,30.75,Peak,1,none,23.333333333333332,-0.19422572178477673,0.2112860892388451,14,-19.4
Natisha Hiedeman,2024-09-17,MIN,CON,0,1,1,4.0,10.966666666666669,Trough,2,cycle,7.333333333333333,0.34814814814814815,-0.6444444444444445,14,34.8
Gabby Williams,2024-09-17,SEA,LVA,14,5,5,29.0,38.68333333333333,Stable,1,none,32.666666666666664,-0.4411764705882351,0.0,0,-44.1
Nyara Sabally,2024-09-17,NYL,WAS,12,0,4,20.0,14.65,Peak,2,none,17.0,-0.3313253012048192,0.0,0,-33.1
Ivana Dojkić,2024-09-17,NYL,WAS,0,1,0,1.0,3.1166666666666667,Stable,2,none,6.333333333333333,0.0020202020202020133,0.0,0,0.2
