Slip ID,Timestamp,Type,Legs,Leg #,Player,Prop Type,Line,O/U,Odds,Confidence,Game,Expected Value,Expected Payout
4,2025-07-07 15:29:55,Power,3,3,Jewell Loyd,Rebounds,5.3,over,-120,0.6998,PHX @ SEA,1.4791,6.54
5,2025-07-07 15:29:55,Flex,3,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,1.4198,6.54
5,2025-07-07 15:29:55,Flex,3,2,Caitlin Clark,Rebounds,6.4,over,-110,0.7065,ATL @ IND,1.4198,6.54
5,2025-07-07 15:29:55,Flex,3,3,Jewell Loyd,Rebounds,5.3,over,-120,0.6998,PHX @ SEA,1.4198,6.54
6,2025-07-07 15:29:55,Power,2,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,0.9323,3.57
6,2025-07-07 15:29:55,Power,2,2,Caitlin Clark,Rebounds,6.4,over,-110,0.7065,ATL @ IND,0.9323,3.57
7,2025-07-07 15:29:55,Power,2,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,0.9072,3.57
7,2025-07-07 15:29:55,Power,2,2,Aliyah Boston,3-Pointers Made,2.5,over,-110,0.6973,ATL @ IND,0.9072,3.57
8,2025-07-07 15:29:55,Power,2,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,0.8918,3.57
8,2025-07-07 15:29:55,Power,2,2,Jordin Canada,Points,10.3,over,-110,0.6917,LA @ CHI,0.8918,3.57
9,2025-07-07 15:29:55,Flex,2,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,0.2473,3.57
9,2025-07-07 15:29:55,Flex,2,2,Caitlin Clark,Rebounds,6.4,over,-110,0.7065,ATL @ IND,0.2473,3.57
1,2025-07-07 15:33:04,Flex,4,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,2.8199,12.00
1,2025-07-07 15:33:04,Flex,4,2,Caitlin Clark,Rebounds,6.4,over,-110,0.7065,ATL @ IND,2.8199,12.00
1,2025-07-07 15:33:04,Flex,4,3,Jewell Loyd,Rebounds,5.3,over,-120,0.6998,PHX @ SEA,2.8199,12.00
1,2025-07-07 15:33:04,Flex,4,4,A'ja Wilson,Rebounds,7.7,over,-120,0.7594,NY @ LV,2.8199,12.00
2,2025-07-07 15:33:04,Power,3,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,1.5517,6.81
2,2025-07-07 15:33:04,Power,3,2,Caitlin Clark,Rebounds,6.4,over,-110,0.7065,ATL @ IND,1.5517,6.81
2,2025-07-07 15:33:04,Power,3,3,Jordin Canada,Points,10.3,over,-110,0.6917,LA @ CHI,1.5517,6.81
3,2025-07-07 15:33:04,Power,3,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,1.5517,6.81
3,2025-07-07 15:33:04,Power,3,2,Jordin Canada,Points,10.3,over,-110,0.6917,LA @ CHI,1.5517,6.81
3,2025-07-07 15:33:04,Power,3,3,Caitlin Clark,Rebounds,6.4,over,-110,0.7065,ATL @ IND,1.5517,6.81
4,2025-07-07 15:33:04,Power,3,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,1.4791,6.54
4,2025-07-07 15:33:04,Power,3,2,Caitlin Clark,Rebounds,6.4,over,-110,0.7065,ATL @ IND,1.4791,6.54
4,2025-07-07 15:33:04,Power,3,3,Jewell Loyd,Rebounds,5.3,over,-120,0.6998,PHX @ SEA,1.4791,6.54
5,2025-07-07 15:33:04,Flex,3,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,1.4198,6.54
5,2025-07-07 15:33:04,Flex,3,2,Caitlin Clark,Rebounds,6.4,over,-110,0.7065,ATL @ IND,1.4198,6.54
5,2025-07-07 15:33:04,Flex,3,3,Jewell Loyd,Rebounds,5.3,over,-120,0.6998,PHX @ SEA,1.4198,6.54
6,2025-07-07 15:33:04,Power,2,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,0.9323,3.57
6,2025-07-07 15:33:04,Power,2,2,Caitlin Clark,Rebounds,6.4,over,-110,0.7065,ATL @ IND,0.9323,3.57
7,2025-07-07 15:33:04,Power,2,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,0.9072,3.57
7,2025-07-07 15:33:04,Power,2,2,Aliyah Boston,3-Pointers Made,2.5,over,-110,0.6973,ATL @ IND,0.9072,3.57
8,2025-07-07 15:33:04,Power,2,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,0.8918,3.57
8,2025-07-07 15:33:04,Power,2,2,Jordin Canada,Points,10.3,over,-110,0.6917,LA @ CHI,0.8918,3.57
9,2025-07-07 15:33:04,Flex,2,1,Breanna Stewart,3-Pointers Made,2.5,over,-115,0.7663,NY @ LV,0.2473,3.57
9,2025-07-07 15:33:04,Flex,2,2,Caitlin Clark,Rebounds,6.4,over,-110,0.7065,ATL @ IND,0.2473,3.57
